condition_id,seed,horizon,context_length,tolerance,role,causal_scope,selected_parameter,representation,split,status,error_type,error_message,n_examples,n_representation_features,n_pooled_features,n_model_parameters,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,step_reduction_factor_vs_raw,scalar_reduction_factor_vs_raw,mae,rmse,rmse_ratio_vs_raw,predictive_parity_vs_raw,structural_reduction_success,payload_reduction_success,joint_success,representation_runtime_s,train_runtime_median_s,train_runtime_q1_s,train_runtime_q3_s,inference_runtime_median_s,inference_runtime_q1_s,inference_runtime_q3_s,train_design_bytes,model_state_bytes,candidate_rmse_ratio_vs_control,candidate_predictive_advantage,candidate_pareto_vs_control
seed-1729__h-1__c-32__raw,1729,1,32,,baseline,strict_online,,raw,validation,ok,,,357,1,3,4,32.0,32.0,256.0,1.0,1.0,0.01277942150609045,0.0161774083292254,1.0,,,,,0.0620828,0.0003961,0.0003961,0.0003961,3.68e-05,3.68e-05,3.68e-05,24528,80,,,
seed-1729__h-1__c-32__raw,1729,1,32,,baseline,strict_online,,raw,test,ok,,,357,1,3,4,32.0,32.0,256.0,1.0,1.0,0.012792032756953415,0.016097761603595707,1.0,,,,,0.0620828,0.0003961,0.0003961,0.0003961,3.49e-05,3.49e-05,3.49e-05,24528,80,,,
seed-1729__h-1__c-32__first_difference,1729,1,32,,baseline,strict_online,,first_difference,validation,ok,,,357,1,3,4,31.0,31.0,248.0,1.032258064516129,1.032258064516129,0.014077909665824806,0.018911001989984248,1.1689759944935343,,,,,0.0748657,0.0002634,0.0002634,0.0002634,3.54e-05,3.54e-05,3.54e-05,24528,80,,,
seed-1729__h-1__c-32__first_difference,1729,1,32,,baseline,strict_online,,first_difference,test,ok,,,357,1,3,4,31.0,31.0,248.0,1.032258064516129,1.032258064516129,0.015312109081816037,0.021228009009260206,1.3186932153671957,,,,,0.0748657,0.0002634,0.0002634,0.0002634,2.92e-05,2.92e-05,2.92e-05,24528,80,,,
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,candidate,strict_online,,absolute_geometry,validation,ok,,,357,4,12,13,1.2044817927170868,4.817927170868347,38.54341736694678,26.567441860465117,6.641860465116279,0.012851307325745544,0.016230367502944487,1.0032736500582367,,,,,0.7982097,0.0004564,0.0004564,0.0004564,3.66e-05,3.66e-05,3.66e-05,98112,296,,,
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,candidate,strict_online,,absolute_geometry,test,ok,,,357,4,12,13,1.2240896358543418,4.896358543417367,39.17086834733894,26.141876430205947,6.535469107551487,0.013143889498689087,0.016889402778054723,1.0491770964158265,,,,,0.7982097,0.0004564,0.0004564,0.0004564,3.65e-05,3.65e-05,3.65e-05,98112,296,,,
seed-1729__h-1__c-32__local_geometry,1729,1,32,,primary_control,strict_online,1,local_geometry,validation,ok,,,357,4,12,13,31.0,124.0,992.0,1.032258064516129,0.25806451612903225,0.0141008638005783,0.018795723059910292,1.1618500737200752,,,,,0.121969,0.0004301,0.0004301,0.0004301,4.25e-05,4.25e-05,4.25e-05,98112,296,0.8635138670223603,True,True
seed-1729__h-1__c-32__local_geometry,1729,1,32,,primary_control,strict_online,1,local_geometry,test,ok,,,357,4,12,13,31.0,124.0,992.0,1.032258064516129,0.25806451612903225,0.015192792618300964,0.020992927203702928,1.3040898306640225,,,,,0.121969,0.0004301,0.0004301,0.0004301,4.03e-05,4.03e-05,4.03e-05,98112,296,0.8045282401148713,True,True
seed-1729__h-1__c-32__moving_average_geometry,1729,1,32,,causal_control,strict_online,8,moving_average_geometry,validation,ok,,,357,4,12,13,31.0,124.0,992.0,1.032258064516129,0.25806451612903225,0.013851063450941746,0.017920298565746742,1.1077360601310107,,,,,0.1681795,0.0004148,0.0004148,0.0004148,3.6e-05,3.6e-05,3.6e-05,98112,296,0.9056973824067627,True,True
seed-1729__h-1__c-32__moving_average_geometry,1729,1,32,,causal_control,strict_online,8,moving_average_geometry,test,ok,,,357,4,12,13,31.0,124.0,992.0,1.032258064516129,0.25806451612903225,0.014278381802729702,0.018717849024499696,1.1627609779187404,,,,,0.1681795,0.0004148,0.0004148,0.0004148,3.78e-05,3.78e-05,3.78e-05,98112,296,0.902315365186901,True,True
