condition_id,seed,horizon,context_length,tolerance,role,causal_scope,selected_parameter,representation,split,signal,n_examples,mae,rmse,candidate_rmse_ratio_vs_control
seed-1729__h-1__c-32__raw,1729,1,32,,baseline,strict_online,,raw,validation,sine,51,0.011832516106035758,0.015141937049081018,
seed-1729__h-1__c-32__raw,1729,1,32,,baseline,strict_online,,raw,validation,chirp,51,0.012705008499876378,0.015599379702146938,
seed-1729__h-1__c-32__raw,1729,1,32,,baseline,strict_online,,raw,validation,ramp,51,0.011598201288867179,0.014133294815137984,
seed-1729__h-1__c-32__raw,1729,1,32,,baseline,strict_online,,raw,validation,piecewise_linear,51,0.014163127404222356,0.017403987135635894,
seed-1729__h-1__c-32__raw,1729,1,32,,baseline,strict_online,,raw,validation,first_order_response,51,0.010882814963067347,0.014449833818438488,
seed-1729__h-1__c-32__raw,1729,1,32,,baseline,strict_online,,raw,validation,second_order_response,51,0.011016667098467015,0.013879737181209984,
seed-1729__h-1__c-32__raw,1729,1,32,,baseline,strict_online,,raw,validation,regime_change,51,0.01725761518209712,0.02133652466814631,
seed-1729__h-1__c-32__raw,1729,1,32,,baseline,strict_online,,raw,test,sine,51,0.011141152110600216,0.01420485412496245,
seed-1729__h-1__c-32__raw,1729,1,32,,baseline,strict_online,,raw,test,chirp,51,0.01709495089118317,0.02090350607449752,
seed-1729__h-1__c-32__raw,1729,1,32,,baseline,strict_online,,raw,test,ramp,51,0.011419890933684047,0.014199111170360828,
seed-1729__h-1__c-32__raw,1729,1,32,,baseline,strict_online,,raw,test,piecewise_linear,51,0.009543597053561304,0.011112463323522188,
seed-1729__h-1__c-32__raw,1729,1,32,,baseline,strict_online,,raw,test,first_order_response,51,0.010108009864217057,0.012311289642599673,
seed-1729__h-1__c-32__raw,1729,1,32,,baseline,strict_online,,raw,test,second_order_response,51,0.011374548335794134,0.01442101357980676,
seed-1729__h-1__c-32__raw,1729,1,32,,baseline,strict_online,,raw,test,regime_change,51,0.01886208010963399,0.022149401100877198,
seed-1729__h-1__c-32__first_difference,1729,1,32,,baseline,strict_online,,first_difference,validation,sine,51,0.010625293437031717,0.014090144896707667,
seed-1729__h-1__c-32__first_difference,1729,1,32,,baseline,strict_online,,first_difference,validation,chirp,51,0.017805693255504365,0.02132136965805953,
seed-1729__h-1__c-32__first_difference,1729,1,32,,baseline,strict_online,,first_difference,validation,ramp,51,0.009833595144255813,0.012439366001460343,
seed-1729__h-1__c-32__first_difference,1729,1,32,,baseline,strict_online,,first_difference,validation,piecewise_linear,51,0.012481013098739484,0.015185005895836476,
seed-1729__h-1__c-32__first_difference,1729,1,32,,baseline,strict_online,,first_difference,validation,first_order_response,51,0.008713197585413428,0.012011467735245715,
seed-1729__h-1__c-32__first_difference,1729,1,32,,baseline,strict_online,,first_difference,validation,second_order_response,51,0.009229966082537839,0.011532217151606163,
seed-1729__h-1__c-32__first_difference,1729,1,32,,baseline,strict_online,,first_difference,validation,regime_change,51,0.02985660905729099,0.03446243413325521,
seed-1729__h-1__c-32__first_difference,1729,1,32,,baseline,strict_online,,first_difference,test,sine,51,0.009724709447678545,0.013180509753628913,
seed-1729__h-1__c-32__first_difference,1729,1,32,,baseline,strict_online,,first_difference,test,chirp,51,0.026320824057707436,0.03164615793348347,
