representation,role,causal_scope,split,horizon,context_length,tolerance,selected_parameters,n_seeds,n_successes,n_failures,rmse_mean,rmse_median,rmse_ratio_vs_raw_mean,candidate_rmse_ratio_vs_control_mean,candidate_rmse_ratio_vs_control_median,candidate_predictive_advantage_rate,candidate_pareto_rate,robust_predictive_cell,robust_pareto_cell,mean_input_steps,mean_input_scalar_elements,n_pooled_features,n_model_parameters,representation_runtime_median_s
abba_geometry,external_control,window_offline,test,1,32,,"0.1,0.3",5,5,0,0.018797217054871102,0.018669121795794916,1.1606116970401092,0.8784779097035592,0.8458661123583253,0.8,0.0,True,False,1.0,4.0,12,13,0.1439829
abba_geometry,external_control,window_offline,test,1,64,,"0.03,0.3",5,5,0,0.04336699900180996,0.018886508951720546,2.1643641532028504,0.5960755075195803,0.8270318511207753,1.0,0.0,True,False,1.1932773109243695,4.773109243697478,12,13,0.2060029
abba_geometry,external_control,window_offline,test,1,128,,"0.03,0.1",5,5,0,0.018893956764759134,0.01913751429698517,0.8107541461685439,0.8335445073630549,0.8740614125448921,1.0,0.0,True,False,1.6515406162464987,6.606162464985995,12,13,0.3998954
abba_geometry,external_control,window_offline,test,4,32,,"0.1,0.3",5,5,0,0.05623761258307447,0.05621095174099939,1.4197156061429836,0.6452776621959114,0.5931472519221698,1.0,0.0,True,False,1.0,4.0,12,13,0.1429143
abba_geometry,external_control,window_offline,test,4,64,,0.3,5,5,0,0.15817024944800046,0.09190108976558953,2.522316892174411,0.2371794659005746,0.3062647928453911,1.0,0.0,True,False,1.0879120879120878,4.351648351648351,12,13,0.2022171
abba_geometry,external_control,window_offline,test,4,128,,"0.03,0.1",5,5,0,0.05566492492688506,0.05606241459400116,0.7169007354646549,0.5966925541752918,0.5943413597494214,1.0,0.0,True,False,1.5961538461538463,6.384615384615385,12,13,0.4099576
abba_geometry,external_control,window_offline,test,16,32,,"0.1,0.3",5,5,0,0.2721913399931899,0.27240902988127275,1.333884780143174,0.6822396195062359,0.5351102041596979,0.8,0.0,True,False,1.0,4.0,12,13,0.1416002
abba_geometry,external_control,window_offline,test,16,64,,0.3,5,5,0,0.7512073952385161,0.6508282656994033,2.6693285070816297,0.24914048477594966,0.24882684057567744,1.0,0.0,True,False,1.0714285714285714,4.285714285714286,12,13,0.2018707
abba_geometry,external_control,window_offline,test,16,128,,"0.03,0.1",5,5,0,0.32718270230361923,0.3366228834827013,1.0692222680747765,0.6149612889174734,0.6193101884956385,1.0,0.0,True,False,1.5862637362637362,6.345054945054945,12,13,0.4061423
abba_geometry,external_control,window_offline,validation,1,32,,"0.1,0.3",5,5,0,0.017994443300092748,0.018438529673838137,1.121197784745247,0.9419598991677687,0.9083862595221448,0.8,0.0,True,False,1.0,4.0,12,13,0.1439829
abba_geometry,external_control,window_offline,validation,1,64,,"0.03,0.3",5,5,0,0.04302377537083716,0.019409740851414795,2.249469529187814,0.5979726894951749,0.8255854408175304,1.0,0.0,True,False,1.1731092436974788,4.692436974789915,12,13,0.2060029
abba_geometry,external_control,window_offline,validation,1,128,,"0.03,0.1",5,5,0,0.019387355592895835,0.01979393363690732,0.8623849146280792,0.8227399558632204,0.8034516225428349,1.0,0.0,True,False,1.5955182072829133,6.382072829131653,12,13,0.3998954
abba_geometry,external_control,window_offline,validation,4,32,,"0.1,0.3",5,5,0,0.05083103566577722,0.05084319982480234,1.4327724999779081,0.7118117318592552,0.6921824022849379,0.8,0.0,True,False,1.0,4.0,12,13,0.1429143
abba_geometry,external_control,window_offline,validation,4,64,,0.3,5,5,0,0.15310091428716782,0.09334220546417071,2.7307052486307883,0.23383072466428306,0.29245205466378116,1.0,0.0,True,False,1.0588235294117647,4.235294117647059,12,13,0.2022171
abba_geometry,external_control,window_offline,validation,4,128,,"0.03,0.1",5,5,0,0.0556684955446312,0.05506305207786427,0.7519823966261083,0.5790142183925587,0.5729889884073514,1.0,0.0,True,False,1.542296918767507,6.169187675070028,12,13,0.4099576
abba_geometry,external_control,window_offline,validation,16,32,,"0.1,0.3",5,5,0,0.24172266148283014,0.2415872449612145,1.351905317082124,0.7696609376835903,0.6270186277994308,0.6,0.0,False,False,1.0,4.0,12,13,0.1416002
abba_geometry,external_control,window_offline,validation,16,64,,0.3,5,5,0,0.81406050813913,0.6970176855744808,3.1264097853372377,0.21904602739924584,0.2042192830506694,1.0,0.0,True,False,1.0588235294117647,4.235294117647059,12,13,0.2018707
abba_geometry,external_control,window_offline,validation,16,128,,"0.03,0.1",5,5,0,0.3058616144370673,0.3070040140642809,1.0232590540722533,0.5713414760163807,0.5606259406464588,1.0,0.0,True,False,1.5322128851540617,6.128851540616247,12,13,0.4061423
absolute_geometry,candidate,strict_online,test,1,32,0.1,,5,5,0,0.016501544575727493,0.015774974830708905,1.0195054128937837,,,,,False,False,1.2229691876750701,4.8918767507002805,12,13,0.7943561
absolute_geometry,candidate,strict_online,test,1,64,0.1,,5,5,0,0.01558361306089486,0.015569799840693437,0.7794622672021206,,,,,False,False,1.6789915966386555,6.715966386554622,12,13,1.4081034
absolute_geometry,candidate,strict_online,test,1,128,0.1,,5,5,0,0.015590566307296915,0.015424360763788919,0.6688844792268698,,,,,False,False,2.611764705882353,10.447058823529412,12,13,2.6828323
absolute_geometry,candidate,strict_online,test,4,32,0.1,,5,5,0,0.03627585872023946,0.033618064044074934,0.9165054443471709,,,,,False,False,1.2241758241758243,4.896703296703297,12,13,0.7762212
absolute_geometry,candidate,strict_online,test,4,64,0.1,,5,5,0,0.028158908615808893,0.027912341309883792,0.449054782716454,,,,,False,False,1.6796703296703295,6.718681318681318,12,13,1.4188549
absolute_geometry,candidate,strict_online,test,4,128,0.1,,5,5,0,0.033195072053453366,0.03331318193998074,0.427523298728823,,,,,False,False,2.6137362637362633,10.454945054945053,12,13,2.6991958
absolute_geometry,candidate,strict_online,test,16,32,0.1,,5,5,0,0.18566134890941616,0.14562645260098758,0.9099607866795498,,,,,False,False,1.2241758241758243,4.896703296703297,12,13,0.7667625
absolute_geometry,candidate,strict_online,test,16,64,0.1,,5,5,0,0.16101520284077292,0.15779186439485648,0.5718743767182464,,,,,False,False,1.6785714285714284,6.7142857142857135,12,13,1.4007134
absolute_geometry,candidate,strict_online,test,16,128,0.1,,5,5,0,0.2011435841900429,0.2057076998093565,0.657336303204519,,,,,False,False,2.6142857142857143,10.457142857142857,12,13,2.6854954
absolute_geometry,candidate,strict_online,validation,1,32,0.1,,5,5,0,0.01687130993831332,0.01638833721170279,1.0564142237941816,,,,,False,False,1.2106442577030812,4.842577030812325,12,13,0.7943561
