representation,role,causal_scope,split,seed,n_cells,geometric_mean_candidate_rmse_ratio_vs_control,candidate_seed_success,pareto_cell_rate
abba_geometry,external_control,window_offline,test,1729,9,0.5789887673316182,True,0.0
abba_geometry,external_control,window_offline,test,2718,9,0.6228467640499458,True,0.0
abba_geometry,external_control,window_offline,test,31415,9,0.4562809746778524,True,0.0
abba_geometry,external_control,window_offline,test,104729,9,0.5050179449775033,True,0.0
abba_geometry,external_control,window_offline,test,8675309,9,0.4289956697935203,True,0.0
abba_geometry,external_control,window_offline,validation,1729,9,0.5588120485962942,True,0.0
abba_geometry,external_control,window_offline,validation,2718,9,0.6177962147324861,True,0.0
abba_geometry,external_control,window_offline,validation,31415,9,0.4664484071885905,True,0.0
abba_geometry,external_control,window_offline,validation,104729,9,0.5099266809435309,True,0.0
abba_geometry,external_control,window_offline,validation,8675309,9,0.4419185189951504,True,0.0
ewma_geometry,causal_control,strict_online,test,1729,9,0.8702673729267351,True,0.8888888888888888
ewma_geometry,causal_control,strict_online,test,2718,9,0.9220088190000121,True,0.5555555555555556
ewma_geometry,causal_control,strict_online,test,31415,9,0.8564067554787524,True,0.6666666666666666
ewma_geometry,causal_control,strict_online,test,104729,9,1.0730566257774408,False,0.4444444444444444
ewma_geometry,causal_control,strict_online,test,8675309,9,0.8991838423712974,True,0.6666666666666666
ewma_geometry,causal_control,strict_online,validation,1729,9,0.895549595029087,True,0.8888888888888888
ewma_geometry,causal_control,strict_online,validation,2718,9,0.9137222494561619,True,0.6666666666666666
ewma_geometry,causal_control,strict_online,validation,31415,9,0.8805137146319033,True,0.6666666666666666
ewma_geometry,causal_control,strict_online,validation,104729,9,1.105186923535285,False,0.4444444444444444
ewma_geometry,causal_control,strict_online,validation,8675309,9,0.9279040667815328,True,0.6666666666666666
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,test,1729,9,0.8402462137185249,True,0.4444444444444444
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,test,2718,9,1.0860234902698267,False,0.3333333333333333
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,test,31415,9,0.9019002108710783,True,0.4444444444444444
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,test,104729,9,0.8973969578000229,True,0.4444444444444444
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,test,8675309,9,0.8395219697894933,True,0.4444444444444444
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,validation,1729,9,0.8752318720296045,True,0.4444444444444444
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,validation,2718,9,1.1042395129803562,False,0.3333333333333333
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,validation,31415,9,0.9468775748825982,True,0.4444444444444444
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,validation,104729,9,0.956612059151385,True,0.4444444444444444
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,validation,8675309,9,0.896617890046907,True,0.3333333333333333
local_geometry,primary_control,strict_online,test,1729,9,0.5396699476229383,True,1.0
local_geometry,primary_control,strict_online,test,2718,9,0.6235996291358499,True,0.8888888888888888
local_geometry,primary_control,strict_online,test,31415,9,0.5248155841901716,True,1.0
local_geometry,primary_control,strict_online,test,104729,9,0.6508498906785107,True,1.0
local_geometry,primary_control,strict_online,test,8675309,9,0.5753592322855238,True,1.0
local_geometry,primary_control,strict_online,validation,1729,9,0.5464958438841278,True,1.0
local_geometry,primary_control,strict_online,validation,2718,9,0.6049029915266305,True,0.8888888888888888
local_geometry,primary_control,strict_online,validation,31415,9,0.5350785536053405,True,1.0
local_geometry,primary_control,strict_online,validation,104729,9,0.6410638666809284,True,0.7777777777777778
local_geometry,primary_control,strict_online,validation,8675309,9,0.6002222103847272,True,1.0
moving_average_geometry,causal_control,strict_online,test,1729,9,0.9720885074345981,True,0.6666666666666666
moving_average_geometry,causal_control,strict_online,test,2718,9,0.9832839798227588,True,0.5555555555555556
moving_average_geometry,causal_control,strict_online,test,31415,9,1.0328735371598134,False,0.3333333333333333
moving_average_geometry,causal_control,strict_online,test,104729,9,1.1009646892482736,False,0.5555555555555556
moving_average_geometry,causal_control,strict_online,test,8675309,9,0.9512776659631752,True,0.5555555555555556
moving_average_geometry,causal_control,strict_online,validation,1729,9,0.9969821749375734,False,0.5555555555555556
moving_average_geometry,causal_control,strict_online,validation,2718,9,0.957474247154288,True,0.6666666666666666
moving_average_geometry,causal_control,strict_online,validation,31415,9,1.0707089675361368,False,0.3333333333333333
moving_average_geometry,causal_control,strict_online,validation,104729,9,1.1441182204435267,False,0.4444444444444444
moving_average_geometry,causal_control,strict_online,validation,8675309,9,0.9944494843675935,False,0.4444444444444444
