condition_id,seed,horizon,context_length,tolerance,variant,features,role,representation,split,status,error_type,error_message,n_examples,n_representation_features,n_pooled_features,n_model_parameters,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,step_reduction_factor_vs_raw,scalar_reduction_factor_vs_raw,mae,rmse,rmse_ratio_vs_raw,predictive_parity_vs_raw,structural_reduction_success,payload_reduction_success,joint_success,representation_runtime_s,train_runtime_median_s,train_runtime_q1_s,train_runtime_q3_s,inference_runtime_median_s,inference_runtime_q1_s,inference_runtime_q3_s,train_design_bytes,model_state_bytes,rmse_ratio_vs_reference,beats_reference,practical_improvement_vs_reference
seed-1729__h-1__c-32__raw,1729,1,32,,,,baseline,raw,validation,ok,,,357,1,3,4,32.0,32.0,256.0,1.0,1.0,0.01277942150609045,0.0161774083292254,1.0,,,,,0.0677104,0.0003632,0.0003632,0.0003632,3.64e-05,3.64e-05,3.64e-05,24528,80,,,
seed-1729__h-1__c-32__raw,1729,1,32,,,,baseline,raw,test,ok,,,357,1,3,4,32.0,32.0,256.0,1.0,1.0,0.012792032756953415,0.016097761603595707,1.0,,,,,0.0677104,0.0003632,0.0003632,0.0003632,4.31e-05,4.31e-05,4.31e-05,24528,80,,,
seed-1729__h-1__c-32__first_difference,1729,1,32,,,,baseline,first_difference,validation,ok,,,357,1,3,4,31.0,31.0,248.0,1.032258064516129,1.032258064516129,0.014077909665824806,0.018911001989984248,1.1689759944935343,,,,,0.0685376,0.0002627,0.0002627,0.0002627,2.96e-05,2.96e-05,2.96e-05,24528,80,,,
seed-1729__h-1__c-32__first_difference,1729,1,32,,,,baseline,first_difference,test,ok,,,357,1,3,4,31.0,31.0,248.0,1.032258064516129,1.032258064516129,0.015312109081816037,0.021228009009260206,1.3186932153671957,,,,,0.0685376,0.0002627,0.0002627,0.0002627,2.86e-05,2.86e-05,2.86e-05,24528,80,,,
seed-1729__h-1__c-32__segment,1729,1,32,0.1,segment,"dt,dy",secondary,vectorchain,validation,ok,,,357,2,6,7,1.2044817927170868,2.4089635854341735,19.27170868347339,26.567441860465117,13.283720930232558,0.014207837060578111,0.018605844905798443,1.150112831867261,False,True,True,False,0.7458018,0.0003572,0.0003572,0.0003572,3.23e-05,3.23e-05,3.23e-05,49056,152,1.1463600502220914,False,False
seed-1729__h-1__c-32__segment,1729,1,32,0.1,segment,"dt,dy",secondary,vectorchain,test,ok,,,357,2,6,7,1.2240896358543418,2.4481792717086837,19.58543417366947,26.141876430205947,13.070938215102974,0.014843772281688334,0.02010276343460441,1.2487924675263,False,True,True,False,0.7458018,0.0003572,0.0003572,0.0003572,3.2e-05,3.2e-05,3.2e-05,49056,152,1.1902589865832895,False,False
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,validation,ok,,,357,4,12,13,1.2044817927170868,4.817927170868347,38.54341736694678,26.567441860465117,6.641860465116279,0.012851307325745544,0.016230367502944487,1.0032736500582367,True,True,True,True,0.824066,0.0004238,0.0004238,0.0004238,3.56e-05,3.56e-05,3.56e-05,98112,296,1.0,False,False
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,test,ok,,,357,4,12,13,1.2240896358543418,4.896358543417367,39.17086834733894,26.141876430205947,6.535469107551487,0.013143889498689087,0.016889402778054723,1.0491770964158265,True,True,True,True,0.824066,0.0004238,0.0004238,0.0004238,3.76e-05,3.76e-05,3.76e-05,98112,296,1.0,False,False
seed-1729__h-1__c-32__turning_matched,1729,1,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,validation,ok,,,357,4,12,13,1.2044817927170868,4.817927170868347,38.54341736694678,26.567441860465117,6.641860465116279,0.012628000790630301,0.016105241024287988,0.995539007023329,True,True,True,True,0.8083811,0.0004177,0.0004177,0.0004177,3.67e-05,3.67e-05,3.67e-05,98112,296,0.992290594859679,True,False
seed-1729__h-1__c-32__turning_matched,1729,1,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,test,ok,,,357,4,12,13,1.2240896358543418,4.896358543417367,39.17086834733894,26.141876430205947,6.535469107551487,0.012655331474003318,0.016178543818772508,1.0050182265811887,True,True,True,True,0.8083811,0.0004177,0.0004177,0.0004177,3.71e-05,3.71e-05,3.71e-05,98112,296,0.9579109475554772,True,True
