condition_id,seed,horizon,context_length,tolerance,variant,features,role,representation,split,signal,n_examples,mae,rmse,rmse_ratio_vs_reference
seed-1729__h-1__c-32__raw,1729,1,32,,,,baseline,raw,validation,sine,51,0.011832516106035758,0.015141937049081018,
seed-1729__h-1__c-32__raw,1729,1,32,,,,baseline,raw,validation,chirp,51,0.012705008499876378,0.015599379702146938,
seed-1729__h-1__c-32__raw,1729,1,32,,,,baseline,raw,validation,ramp,51,0.011598201288867179,0.014133294815137984,
seed-1729__h-1__c-32__raw,1729,1,32,,,,baseline,raw,validation,piecewise_linear,51,0.014163127404222356,0.017403987135635894,
seed-1729__h-1__c-32__raw,1729,1,32,,,,baseline,raw,validation,first_order_response,51,0.010882814963067347,0.014449833818438488,
seed-1729__h-1__c-32__raw,1729,1,32,,,,baseline,raw,validation,second_order_response,51,0.011016667098467015,0.013879737181209984,
seed-1729__h-1__c-32__raw,1729,1,32,,,,baseline,raw,validation,regime_change,51,0.01725761518209712,0.02133652466814631,
seed-1729__h-1__c-32__raw,1729,1,32,,,,baseline,raw,test,sine,51,0.011141152110600216,0.01420485412496245,
seed-1729__h-1__c-32__raw,1729,1,32,,,,baseline,raw,test,chirp,51,0.01709495089118317,0.02090350607449752,
seed-1729__h-1__c-32__raw,1729,1,32,,,,baseline,raw,test,ramp,51,0.011419890933684047,0.014199111170360828,
seed-1729__h-1__c-32__raw,1729,1,32,,,,baseline,raw,test,piecewise_linear,51,0.009543597053561304,0.011112463323522188,
seed-1729__h-1__c-32__raw,1729,1,32,,,,baseline,raw,test,first_order_response,51,0.010108009864217057,0.012311289642599673,
seed-1729__h-1__c-32__raw,1729,1,32,,,,baseline,raw,test,second_order_response,51,0.011374548335794134,0.01442101357980676,
seed-1729__h-1__c-32__raw,1729,1,32,,,,baseline,raw,test,regime_change,51,0.01886208010963399,0.022149401100877198,
seed-1729__h-1__c-32__first_difference,1729,1,32,,,,baseline,first_difference,validation,sine,51,0.010625293437031717,0.014090144896707667,
seed-1729__h-1__c-32__first_difference,1729,1,32,,,,baseline,first_difference,validation,chirp,51,0.017805693255504365,0.02132136965805953,
seed-1729__h-1__c-32__first_difference,1729,1,32,,,,baseline,first_difference,validation,ramp,51,0.009833595144255813,0.012439366001460343,
seed-1729__h-1__c-32__first_difference,1729,1,32,,,,baseline,first_difference,validation,piecewise_linear,51,0.012481013098739484,0.015185005895836476,
seed-1729__h-1__c-32__first_difference,1729,1,32,,,,baseline,first_difference,validation,first_order_response,51,0.008713197585413428,0.012011467735245715,
seed-1729__h-1__c-32__first_difference,1729,1,32,,,,baseline,first_difference,validation,second_order_response,51,0.009229966082537839,0.011532217151606163,
seed-1729__h-1__c-32__first_difference,1729,1,32,,,,baseline,first_difference,validation,regime_change,51,0.02985660905729099,0.03446243413325521,
seed-1729__h-1__c-32__first_difference,1729,1,32,,,,baseline,first_difference,test,sine,51,0.009724709447678545,0.013180509753628913,
seed-1729__h-1__c-32__first_difference,1729,1,32,,,,baseline,first_difference,test,chirp,51,0.026320824057707436,0.03164615793348347,
seed-1729__h-1__c-32__first_difference,1729,1,32,,,,baseline,first_difference,test,ramp,51,0.0105823252779972,0.012993735591795334,
seed-1729__h-1__c-32__first_difference,1729,1,32,,,,baseline,first_difference,test,piecewise_linear,51,0.008240227373128694,0.010144438906045694,
seed-1729__h-1__c-32__first_difference,1729,1,32,,,,baseline,first_difference,test,first_order_response,51,0.008834637198940362,0.011008123947193516,
seed-1729__h-1__c-32__first_difference,1729,1,32,,,,baseline,first_difference,test,second_order_response,51,0.010343122885530298,0.01336356236829298,
seed-1729__h-1__c-32__first_difference,1729,1,32,,,,baseline,first_difference,test,regime_change,51,0.03313891733172972,0.03751910205226301,
seed-1729__h-1__c-32__segment,1729,1,32,0.1,segment,"dt,dy",secondary,vectorchain,validation,sine,51,0.011692940499068976,0.014896565577470388,0.9991652429682217
seed-1729__h-1__c-32__segment,1729,1,32,0.1,segment,"dt,dy",secondary,vectorchain,validation,chirp,51,0.016812125004840927,0.020167205961715534,1.1406092967586128
seed-1729__h-1__c-32__segment,1729,1,32,0.1,segment,"dt,dy",secondary,vectorchain,validation,ramp,51,0.011458268623857876,0.013923007940040137,0.9994155029931631
seed-1729__h-1__c-32__segment,1729,1,32,0.1,segment,"dt,dy",secondary,vectorchain,validation,piecewise_linear,51,0.014191864688701117,0.01731645796094329,1.0001051023303804
seed-1729__h-1__c-32__segment,1729,1,32,0.1,segment,"dt,dy",secondary,vectorchain,validation,first_order_response,51,0.010605380875765055,0.014042892470705235,0.9996391761330609
