seed,horizon,context_length,tolerance,variant,features,n_examples,step_signature_sha256,matches_reference
1729,1,32,0.1,segment,"dt,dy",1736,25ba8e646e26027ddc37205da3fb721e2014053ebedea8e6c38ca19f25c45368,True
1729,1,32,0.1,absolute_geometry,"dt,dy,theta,r",1736,25ba8e646e26027ddc37205da3fb721e2014053ebedea8e6c38ca19f25c45368,True
1729,1,32,0.1,turning_matched,"dt,dy,theta,delta_theta",1736,25ba8e646e26027ddc37205da3fb721e2014053ebedea8e6c38ca19f25c45368,True
1729,1,32,0.1,turning,"dt,dy,theta,r,delta_theta",1736,25ba8e646e26027ddc37205da3fb721e2014053ebedea8e6c38ca19f25c45368,True
1729,1,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1736,25ba8e646e26027ddc37205da3fb721e2014053ebedea8e6c38ca19f25c45368,True
1729,4,32,0.1,segment,"dt,dy",1736,369c8880927472f26e00892b984c3e33f777e356419bef4114d328b6efaafca2,True
1729,4,32,0.1,absolute_geometry,"dt,dy,theta,r",1736,369c8880927472f26e00892b984c3e33f777e356419bef4114d328b6efaafca2,True
1729,4,32,0.1,turning_matched,"dt,dy,theta,delta_theta",1736,369c8880927472f26e00892b984c3e33f777e356419bef4114d328b6efaafca2,True
1729,4,32,0.1,turning,"dt,dy,theta,r,delta_theta",1736,369c8880927472f26e00892b984c3e33f777e356419bef4114d328b6efaafca2,True
1729,4,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1736,369c8880927472f26e00892b984c3e33f777e356419bef4114d328b6efaafca2,True
1729,16,32,0.1,segment,"dt,dy",1715,d71fe4f2a9793c54f2dec66c4f0d4b62419bfc166d42c81c22e575f792ae156c,True
1729,16,32,0.1,absolute_geometry,"dt,dy,theta,r",1715,d71fe4f2a9793c54f2dec66c4f0d4b62419bfc166d42c81c22e575f792ae156c,True
1729,16,32,0.1,turning_matched,"dt,dy,theta,delta_theta",1715,d71fe4f2a9793c54f2dec66c4f0d4b62419bfc166d42c81c22e575f792ae156c,True
1729,16,32,0.1,turning,"dt,dy,theta,r,delta_theta",1715,d71fe4f2a9793c54f2dec66c4f0d4b62419bfc166d42c81c22e575f792ae156c,True
1729,16,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1715,d71fe4f2a9793c54f2dec66c4f0d4b62419bfc166d42c81c22e575f792ae156c,True
1729,1,64,0.1,segment,"dt,dy",1680,6cd278dd7f2f9b6cfec4bd0fd74cef2ef30c58a9340583d81f8eb0eef933211f,True
1729,1,64,0.1,absolute_geometry,"dt,dy,theta,r",1680,6cd278dd7f2f9b6cfec4bd0fd74cef2ef30c58a9340583d81f8eb0eef933211f,True
1729,1,64,0.1,turning_matched,"dt,dy,theta,delta_theta",1680,6cd278dd7f2f9b6cfec4bd0fd74cef2ef30c58a9340583d81f8eb0eef933211f,True
1729,1,64,0.1,turning,"dt,dy,theta,r,delta_theta",1680,6cd278dd7f2f9b6cfec4bd0fd74cef2ef30c58a9340583d81f8eb0eef933211f,True
1729,1,64,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1680,6cd278dd7f2f9b6cfec4bd0fd74cef2ef30c58a9340583d81f8eb0eef933211f,True
1729,4,64,0.1,segment,"dt,dy",1680,6d3935ff3bf287e4e9ad8a647a86b63300ef8ef63d4583b3b4e30c7abbfe2b22,True
1729,4,64,0.1,absolute_geometry,"dt,dy,theta,r",1680,6d3935ff3bf287e4e9ad8a647a86b63300ef8ef63d4583b3b4e30c7abbfe2b22,True
1729,4,64,0.1,turning_matched,"dt,dy,theta,delta_theta",1680,6d3935ff3bf287e4e9ad8a647a86b63300ef8ef63d4583b3b4e30c7abbfe2b22,True
1729,4,64,0.1,turning,"dt,dy,theta,r,delta_theta",1680,6d3935ff3bf287e4e9ad8a647a86b63300ef8ef63d4583b3b4e30c7abbfe2b22,True
1729,4,64,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1680,6d3935ff3bf287e4e9ad8a647a86b63300ef8ef63d4583b3b4e30c7abbfe2b22,True
1729,16,64,0.1,segment,"dt,dy",1659,bdf78729ceec25eb20284de5970e2519c71f377f1c90e11026b27280d4f7fca3,True
1729,16,64,0.1,absolute_geometry,"dt,dy,theta,r",1659,bdf78729ceec25eb20284de5970e2519c71f377f1c90e11026b27280d4f7fca3,True
1729,16,64,0.1,turning_matched,"dt,dy,theta,delta_theta",1659,bdf78729ceec25eb20284de5970e2519c71f377f1c90e11026b27280d4f7fca3,True
1729,16,64,0.1,turning,"dt,dy,theta,r,delta_theta",1659,bdf78729ceec25eb20284de5970e2519c71f377f1c90e11026b27280d4f7fca3,True
1729,16,64,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1659,bdf78729ceec25eb20284de5970e2519c71f377f1c90e11026b27280d4f7fca3,True
1729,1,128,0.1,segment,"dt,dy",1568,b5e7df244b8b5ff6eef7ce4c019f42230f2020109c31b4912716fa39300e0435,True
1729,1,128,0.1,absolute_geometry,"dt,dy,theta,r",1568,b5e7df244b8b5ff6eef7ce4c019f42230f2020109c31b4912716fa39300e0435,True
1729,1,128,0.1,turning_matched,"dt,dy,theta,delta_theta",1568,b5e7df244b8b5ff6eef7ce4c019f42230f2020109c31b4912716fa39300e0435,True
1729,1,128,0.1,turning,"dt,dy,theta,r,delta_theta",1568,b5e7df244b8b5ff6eef7ce4c019f42230f2020109c31b4912716fa39300e0435,True
1729,1,128,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1568,b5e7df244b8b5ff6eef7ce4c019f42230f2020109c31b4912716fa39300e0435,True
1729,4,128,0.1,segment,"dt,dy",1568,75f70f6ac1f10f7a5df50f2c805fd7e0dc8a1280a39aa86865649a1df872d9b0,True
1729,4,128,0.1,absolute_geometry,"dt,dy,theta,r",1568,75f70f6ac1f10f7a5df50f2c805fd7e0dc8a1280a39aa86865649a1df872d9b0,True
1729,4,128,0.1,turning_matched,"dt,dy,theta,delta_theta",1568,75f70f6ac1f10f7a5df50f2c805fd7e0dc8a1280a39aa86865649a1df872d9b0,True
1729,4,128,0.1,turning,"dt,dy,theta,r,delta_theta",1568,75f70f6ac1f10f7a5df50f2c805fd7e0dc8a1280a39aa86865649a1df872d9b0,True
1729,4,128,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1568,75f70f6ac1f10f7a5df50f2c805fd7e0dc8a1280a39aa86865649a1df872d9b0,True
