variant,features,role,split,seed,n_cells,geometric_mean_rmse_ratio_vs_reference,rmse_ratio_vs_raw_mean,primary_seed_success,capacity_control_seed_success
absolute_geometry,"dt,dy,theta,r",reference,test,1729,9,1.0,0.644545442411442,,
absolute_geometry,"dt,dy,theta,r",reference,test,2718,9,1.0,0.7678964293062844,,
absolute_geometry,"dt,dy,theta,r",reference,test,31415,9,1.0,0.6573684297098193,,
absolute_geometry,"dt,dy,theta,r",reference,test,104729,9,1.0,0.8189034740086663,,
absolute_geometry,"dt,dy,theta,r",reference,test,8675309,9,1.0,0.6669013088513084,,
absolute_geometry,"dt,dy,theta,r",reference,validation,1729,9,1.0,0.6712337396664746,,
absolute_geometry,"dt,dy,theta,r",reference,validation,2718,9,1.0,0.7944124074295545,,
absolute_geometry,"dt,dy,theta,r",reference,validation,31415,9,1.0,0.6931714105689353,,
absolute_geometry,"dt,dy,theta,r",reference,validation,104729,9,1.0,0.873028032482977,,
absolute_geometry,"dt,dy,theta,r",reference,validation,8675309,9,1.0,0.7202994995899126,,
full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,test,1729,9,1.1519032425380147,0.7379658247299148,,
full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,test,2718,9,1.1798455743932565,0.8842083428118609,,
full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,test,31415,9,1.0949979555044618,0.716076739182896,,
full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,test,104729,9,1.127613854634261,0.9063474070266293,,
full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,test,8675309,9,1.189939375267055,0.7920614050062398,,
full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,validation,1729,9,1.0895624678479752,0.7266394041124857,,
full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,validation,2718,9,1.1773610716235463,0.9131862508028967,,
full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,validation,31415,9,1.0405679091632307,0.7222308038565455,,
full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,validation,104729,9,1.1161331773027845,0.9636627063938177,,
full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,validation,8675309,9,1.131325993063892,0.8196224175430767,,
segment,"dt,dy",secondary,test,1729,9,1.6938052327951483,1.1207536835230085,,
segment,"dt,dy",secondary,test,2718,9,1.4544291328917323,1.123242908255407,,
segment,"dt,dy",secondary,test,31415,9,1.4991034326354273,0.997976624979443,,
segment,"dt,dy",secondary,test,104729,9,1.316098140515234,1.031117292731535,,
segment,"dt,dy",secondary,test,8675309,9,1.560288296462712,1.0464336175836384,,
segment,"dt,dy",secondary,validation,1729,9,1.6933525717490545,1.1844624601213283,,
segment,"dt,dy",secondary,validation,2718,9,1.5181914867534867,1.2139665602757759,,
segment,"dt,dy",secondary,validation,31415,9,1.5534668646366168,1.0922911968285383,,
segment,"dt,dy",secondary,validation,104729,9,1.3377645235312996,1.1133668247054433,,
segment,"dt,dy",secondary,validation,8675309,9,1.5715481116832384,1.1376866512862862,,
turning,"dt,dy,theta,r,delta_theta",primary,test,1729,9,1.0381779594684784,0.6687817845113172,False,
turning,"dt,dy,theta,r,delta_theta",primary,test,2718,9,0.9893029308992021,0.7515359250833615,True,
turning,"dt,dy,theta,r,delta_theta",primary,test,31415,9,1.0182136282511416,0.6738158088562844,False,
turning,"dt,dy,theta,r,delta_theta",primary,test,104729,9,1.0674345667813494,0.8614779860805459,False,
turning,"dt,dy,theta,r,delta_theta",primary,test,8675309,9,1.0954834205729251,0.7256015678266654,False,
turning,"dt,dy,theta,r,delta_theta",primary,validation,1729,9,1.0137129858068028,0.6782527996617094,False,
turning,"dt,dy,theta,r,delta_theta",primary,validation,2718,9,1.0057639287499178,0.7945742360158408,False,
turning,"dt,dy,theta,r,delta_theta",primary,validation,31415,9,0.9911335837895571,0.6941146536755662,False,
turning,"dt,dy,theta,r,delta_theta",primary,validation,104729,9,1.0832672070049711,0.9311457864869611,False,
turning,"dt,dy,theta,r,delta_theta",primary,validation,8675309,9,1.0798585142624915,0.7727996794542088,False,
turning_matched,"dt,dy,theta,delta_theta",capacity_control,test,1729,9,1.0322172886119088,0.6660295786906673,,False
turning_matched,"dt,dy,theta,delta_theta",capacity_control,test,2718,9,0.9827915030785946,0.7450390487378524,,True
turning_matched,"dt,dy,theta,delta_theta",capacity_control,test,31415,9,1.0203363708485835,0.6754822461836112,,False
turning_matched,"dt,dy,theta,delta_theta",capacity_control,test,104729,9,1.067068070879523,0.8611400852174983,,False
turning_matched,"dt,dy,theta,delta_theta",capacity_control,test,8675309,9,1.0965624777721439,0.7263500274747074,,False
turning_matched,"dt,dy,theta,delta_theta",capacity_control,validation,1729,9,1.005449893439248,0.6738862718820491,,False
turning_matched,"dt,dy,theta,delta_theta",capacity_control,validation,2718,9,0.9992035877917737,0.7872025860549366,,True
turning_matched,"dt,dy,theta,delta_theta",capacity_control,validation,31415,9,0.9925995693969379,0.6954630755180186,,True
turning_matched,"dt,dy,theta,delta_theta",capacity_control,validation,104729,9,1.082914740398372,0.9306905905282252,,False
turning_matched,"dt,dy,theta,delta_theta",capacity_control,validation,8675309,9,1.0793767326498005,0.7723304538558748,,False
