representation,variant,features,role,split,horizon,context_length,tolerance,signal,n_seeds,mae_mean,mae_median,rmse_mean,rmse_median,rmse_q1,rmse_q3,rmse_min,rmse_max,rmse_ratio_vs_reference_mean,rmse_ratio_vs_reference_median
first_difference,,,baseline,test,1,32,,chirp,5,0.026284817649074976,0.026191311200235445,0.031038202029997075,0.030218612574925682,0.03013968811844276,0.03164615793348347,0.02994299309296997,0.033243558430163495,,
first_difference,,,baseline,test,1,32,,first_order_response,5,0.009761158418209216,0.009035019069188768,0.01199731931048579,0.011738500723680826,0.011141587786305356,0.012732310849769314,0.011008123947193516,0.013366073245479936,,
first_difference,,,baseline,test,1,32,,piecewise_linear,5,0.009526560214098955,0.009134287949809718,0.01168775325416861,0.010761072396630909,0.010651251171822257,0.013393737887155905,0.010144438906045694,0.013488265909188288,,
first_difference,,,baseline,test,1,32,,ramp,5,0.009938698469659115,0.010537594753546625,0.012221636991702025,0.012655272441142264,0.011731368449337257,0.012951251773906613,0.010776556702328664,0.012993735591795334,,
first_difference,,,baseline,test,1,32,,regime_change,5,0.031773704973289345,0.031192847603020074,0.03624166648216727,0.035197164775096094,0.03507072433765254,0.03751910205226301,0.034300203361715624,0.0391211378841091,,
first_difference,,,baseline,test,1,32,,second_order_response,5,0.00994019896888539,0.009932647190390484,0.012673897734810962,0.01210420927688505,0.011816995534912436,0.01336356236829298,0.011164855749270574,0.014919865744693776,,
first_difference,,,baseline,test,1,32,,sine,5,0.010783093576064448,0.0108047669272335,0.013584969361552752,0.013745191423862449,0.013180509753628913,0.01395432959434367,0.012003633458876005,0.01504118257705271,,
first_difference,,,baseline,test,1,64,,chirp,5,0.037011426937181555,0.03671646521295838,0.04267254980756613,0.04261962429716803,0.04156510143964024,0.0435738852029126,0.04074046119623656,0.044863676901873206,,
first_difference,,,baseline,test,1,64,,first_order_response,5,0.010340180903041401,0.009703030613445508,0.012598310505782634,0.012567431170930652,0.011374166337012796,0.013580431992989318,0.011122895784048792,0.014346627243931605,,
first_difference,,,baseline,test,1,64,,piecewise_linear,5,0.009976066492569472,0.00944748778825286,0.012222676684288924,0.011871358296452484,0.011059970144685793,0.013654021400292773,0.010222303442826522,0.014305730137187049,,
