condition_id,seed,horizon,context_length,tolerance,representation,split,status,error_type,error_message,n_examples,n_representation_features,n_pooled_features,n_model_parameters,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,step_reduction_factor_vs_raw,scalar_reduction_factor_vs_raw,mae,rmse,rmse_ratio_vs_raw,predictive_parity_vs_raw,structural_reduction_success,payload_reduction_success,joint_success,representation_runtime_s,train_runtime_median_s,train_runtime_q1_s,train_runtime_q3_s,inference_runtime_median_s,inference_runtime_q1_s,inference_runtime_q3_s,train_design_bytes,model_state_bytes
seed-1729__h-1__c-32__tol-na__raw,1729,1,32,,raw,validation,ok,,,357,1,3,4,32.0,32.0,256.0,1.0,1.0,0.01277942150609045,0.0161774083292254,1.0,,,,,0.0683163,0.0004576,0.0004576,0.0004576,7.01e-05,7.01e-05,7.01e-05,24528,80
seed-1729__h-1__c-32__tol-na__raw,1729,1,32,,raw,test,ok,,,357,1,3,4,32.0,32.0,256.0,1.0,1.0,0.012792032756953415,0.016097761603595707,1.0,,,,,0.0683163,0.0004576,0.0004576,0.0004576,4.45e-05,4.45e-05,4.45e-05,24528,80
seed-1729__h-1__c-32__tol-na__first_difference,1729,1,32,,first_difference,validation,ok,,,357,1,3,4,31.0,31.0,248.0,1.032258064516129,1.032258064516129,0.014077909665824806,0.018911001989984248,1.1689759944935343,,,,,0.071634,0.0002478,0.0002478,0.0002478,3.27e-05,3.27e-05,3.27e-05,24528,80
seed-1729__h-1__c-32__tol-na__first_difference,1729,1,32,,first_difference,test,ok,,,357,1,3,4,31.0,31.0,248.0,1.032258064516129,1.032258064516129,0.015312109081816037,0.021228009009260206,1.3186932153671957,,,,,0.071634,0.0002478,0.0002478,0.0002478,2.9e-05,2.9e-05,2.9e-05,24528,80
seed-1729__h-1__c-32__tol-0p01__vectorchain,1729,1,32,0.01,vectorchain,validation,ok,,,357,5,15,16,16.935574229691877,84.67787114845939,677.4229691876751,1.889513728084684,0.3779027456169368,0.014649438483014731,0.01956858851594978,1.2096244415490225,False,False,False,False,2.0635446,0.0004417,0.0004417,0.0004417,3.65e-05,3.65e-05,3.65e-05,122640,368
seed-1729__h-1__c-32__tol-0p01__vectorchain,1729,1,32,0.01,vectorchain,test,ok,,,357,5,15,16,16.12044817927171,80.60224089635854,644.8179271708683,1.9850564726324935,0.39701129452649875,0.01625319435531612,0.0232410530134803,1.4437443904181697,False,False,False,False,2.0635446,0.0004417,0.0004417,0.0004417,3.66e-05,3.66e-05,3.66e-05,122640,368
seed-1729__h-1__c-32__tol-0p03__vectorchain,1729,1,32,0.03,vectorchain,validation,ok,,,357,5,15,16,3.3053221288515404,16.526610644257705,132.21288515406164,9.68135593220339,1.9362711864406779,0.01495134436040835,0.01936474901284805,1.197024184514434,False,True,True,False,0.9554985,0.0004012,0.0004012,0.0004012,3.62e-05,3.62e-05,3.62e-05,122640,368
seed-1729__h-1__c-32__tol-0p03__vectorchain,1729,1,32,0.03,vectorchain,test,ok,,,357,5,15,16,2.9943977591036415,14.971988795518207,119.77591036414566,10.686623012160897,2.1373246024321797,0.015650302711045373,0.021097194128177975,1.3105669376707356,False,True,True,False,0.9554985,0.0004012,0.0004012,0.0004012,3.78e-05,3.78e-05,3.78e-05,122640,368
seed-1729__h-1__c-32__tol-0p1__vectorchain,1729,1,32,0.1,vectorchain,validation,ok,,,357,5,15,16,1.2044817927170868,6.022408963585434,48.17927170868347,26.567441860465117,5.3134883720930235,0.012618672207476086,0.01609070940851889,0.9946407410295823,True,True,True,True,0.7571018,0.0003933,0.0003933,0.0003933,3.64e-05,3.64e-05,3.64e-05,122640,368
seed-1729__h-1__c-32__tol-0p1__vectorchain,1729,1,32,0.1,vectorchain,test,ok,,,357,5,15,16,1.2240896358543418,6.120448179271708,48.963585434173666,26.141876430205947,5.2283752860411905,0.01265817212424176,0.016166794802993097,1.004288372576096,True,True,True,True,0.7571018,0.0003933,0.0003933,0.0003933,4.34e-05,4.34e-05,4.34e-05,122640,368
