representation,split,horizon,context_length,tolerance,n_seeds,n_successes,n_failures,mae_mean,mae_median,rmse_mean,rmse_median,rmse_q1,rmse_q3,rmse_min,rmse_max,rmse_ratio_vs_raw_mean,rmse_ratio_vs_raw_median,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,step_reduction_factor_vs_raw_mean,scalar_reduction_factor_vs_raw_mean,predictive_parity_rate,structural_reduction_success_rate,payload_reduction_success_rate,joint_success_rate,robust_cell,representation_runtime_median_s
first_difference,test,1,32,,5,5,0,0.01542974746704021,0.015312109081816037,0.02091522183875479,0.021010094696309572,0.020640464298125834,0.021228009009260206,0.02032896912979367,0.02136857206028467,1.2925571726999756,1.2827731800278217,31.0,31.0,248.0,1.032258064516129,1.032258064516129,,,,,,0.0678046
first_difference,test,1,64,,5,5,0,0.019353087945744633,0.019198575692075587,0.027649809160866873,0.0278570580713848,0.027317142438451302,0.028210169399834364,0.026614348277927857,0.028250327616736036,1.3855916650972238,1.3844589909667395,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,,,,,,0.066595
first_difference,test,1,128,,5,5,0,0.01816871586324362,0.018134118527041637,0.02420693332078524,0.024073298174686477,0.023420996899442305,0.02497337785584151,0.02335831258736715,0.02520868108658875,1.0389395363380083,1.0288621386940653,127.0,127.0,1016.0,1.0078740157480315,1.0078740157480315,,,,,,0.0627741
first_difference,test,4,32,,5,5,0,0.035948965534691554,0.036184259144272465,0.057464092965665126,0.057447486972918134,0.05682765222854551,0.05808776109551499,0.05669066289899796,0.05826690163234904,1.4507666068661837,1.4550375721885844,31.0,31.0,248.0,1.032258064516129,1.032258064516129,,,,,,0.0682771
first_difference,test,4,64,,5,5,0,0.04855443698650293,0.048530714351563344,0.07927765042613802,0.07954134888893538,0.07877463217552219,0.07993354494050586,0.0781986886494649,0.07994003747626172,1.2642252267198277,1.2713306165895304,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,,,,,,0.0660366
first_difference,test,4,128,,5,5,0,0.0451219061654886,0.04533165220323032,0.06624808441278612,0.06657358625267894,0.06562778156180321,0.06680851104698116,0.0651742495102562,0.06705629369221111,0.8532424378010918,0.8589146687308478,127.0,127.0,1016.0,1.0078740157480315,1.0078740157480315,,,,,,0.0605796
first_difference,test,16,32,,5,5,0,0.1490372433147409,0.14902901759960122,0.262211988771542,0.263484052011262,0.26124689610677265,0.2636910669247829,0.2578336110735737,0.2648043177413186,1.2849624318153752,1.2881565517684919,31.0,31.0,248.0,1.032258064516129,1.032258064516129,,,,,,0.0709822
first_difference,test,16,64,,5,5,0,0.18429831118773676,0.184584210785222,0.31449204638690315,0.31460222505451735,0.3123044927751089,0.31681257290854076,0.3105397290371065,0.3182012121592423,1.1168870820213175,1.1150744697285555,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,,,,,,0.0649838
first_difference,test,16,128,,5,5,0,0.15973475039795498,0.16128124121666032,0.24287884132787294,0.24326769573725232,0.24164328641979235,0.24510365228088574,0.2383128069616963,0.24606676523973806,0.7937389147791984,0.7968623250002096,127.0,127.0,1016.0,1.0078740157480315,1.0078740157480315,,,,,,0.0588103
first_difference,validation,1,32,,5,5,0,0.014499596850304686,0.014746360507623806,0.019356996771762353,0.019667308290078143,0.018911001989984248,0.01996300102383463,0.018056401662605293,0.02018727089230946,1.2065555609582101,1.203882558183045,31.0,31.0,248.0,1.032258064516129,1.032258064516129,,,,,,0.0678046
first_difference,validation,1,64,,5,5,0,0.018386978672251107,0.01859723675281547,0.026004323600967626,0.026343107103082537,0.025214933094923953,0.026784626418901367,0.024683168041954237,0.026995783345976035,1.3815299098549696,1.3727264848516763,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,,,,,,0.066595
