seed,history_length,representation,fixed_segment_length,n_train_examples,n_input_features,n_outputs,n_predictive_parameters,scaler_state_bytes,model_state_bytes,train_runtime_s
5334086151564077557,4,vectorchain_cartesian,8,655,12,3,39,192,504,0.0004163
5334086151564077557,4,vectorchain_absolute,8,655,20,3,63,320,824,0.0003626
5334086151564077557,4,vectorchain_relational,8,655,28,3,87,448,1144,0.0004922
5334086151564077557,4,raw_matched,8,655,28,3,87,448,1144,0.0003474
5334086151564077557,4,fixed_relational,8,655,28,3,87,448,1144,0.0003433
5334086151564077557,4,raw_ar,8,8393,28,1,29,448,680,0.002878
5334086151564077557,8,vectorchain_cartesian,8,628,24,3,75,384,984,0.0003865
5334086151564077557,8,vectorchain_absolute,8,628,40,3,123,640,1624,0.0004828
5334086151564077557,8,vectorchain_relational,8,628,56,3,171,896,2264,0.0005822
5334086151564077557,8,raw_matched,8,628,56,3,171,896,2264,0.0004038
5334086151564077557,8,fixed_relational,8,628,56,3,171,896,2264,0.000565
5334086151564077557,8,raw_ar,8,8197,56,1,57,896,1352,0.0077632
5334086151564077557,16,vectorchain_cartesian,8,571,48,3,147,768,1944,0.0004865
5334086151564077557,16,vectorchain_absolute,8,571,80,3,243,1280,3224,0.0007346
5334086151564077557,16,vectorchain_relational,8,571,112,3,339,1792,4504,0.012325
5334086151564077557,16,raw_matched,8,571,112,3,339,1792,4504,0.0096258
5334086151564077557,16,fixed_relational,8,571,112,3,339,1792,4504,0.0078862
5334086151564077557,16,raw_ar,8,7805,112,1,113,1792,2696,0.0186961
9076691527785929283,4,vectorchain_cartesian,9,612,12,3,39,192,504,0.0003563
9076691527785929283,4,vectorchain_absolute,9,612,20,3,63,320,824,0.0003605
9076691527785929283,4,vectorchain_relational,9,612,28,3,87,448,1144,0.0003242
9076691527785929283,4,raw_matched,9,612,28,3,87,448,1144,0.0002866
9076691527785929283,4,fixed_relational,9,612,28,3,87,448,1144,0.0002797
9076691527785929283,4,raw_ar,9,8393,28,1,29,448,680,0.0028068
9076691527785929283,8,vectorchain_cartesian,9,583,24,3,75,384,984,0.0003109
9076691527785929283,8,vectorchain_absolute,9,583,40,3,123,640,1624,0.0003711
9076691527785929283,8,vectorchain_relational,9,583,56,3,171,896,2264,0.0004906
9076691527785929283,8,raw_matched,9,583,56,3,171,896,2264,0.0003698
9076691527785929283,8,fixed_relational,9,583,56,3,171,896,2264,0.0004261
9076691527785929283,8,raw_ar,9,8197,56,1,57,896,1352,0.0049916
9076691527785929283,16,vectorchain_cartesian,9,527,48,3,147,768,1944,0.0004663
9076691527785929283,16,vectorchain_absolute,9,527,80,3,243,1280,3224,0.0006323
9076691527785929283,16,vectorchain_relational,9,527,112,3,339,1792,4504,0.0052185
9076691527785929283,16,raw_matched,9,527,112,3,339,1792,4504,0.0047926
9076691527785929283,16,fixed_relational,9,527,112,3,339,1792,4504,0.005207
9076691527785929283,16,raw_ar,9,7805,112,1,113,1792,2696,0.0141748
1488991049205644303,4,vectorchain_cartesian,9,619,12,3,39,192,504,0.000249
1488991049205644303,4,vectorchain_absolute,9,619,20,3,63,320,824,0.0002892
1488991049205644303,4,vectorchain_relational,9,619,28,3,87,448,1144,0.0003423
1488991049205644303,4,raw_matched,9,619,28,3,87,448,1144,0.0002717
1488991049205644303,4,fixed_relational,9,619,28,3,87,448,1144,0.0003132
1488991049205644303,4,raw_ar,9,8393,28,1,29,448,680,0.0028123
1488991049205644303,8,vectorchain_cartesian,9,592,24,3,75,384,984,0.0003078
1488991049205644303,8,vectorchain_absolute,9,592,40,3,123,640,1624,0.0003629
1488991049205644303,8,vectorchain_relational,9,592,56,3,171,896,2264,0.0005742
1488991049205644303,8,raw_matched,9,592,56,3,171,896,2264,0.0003831
1488991049205644303,8,fixed_relational,9,592,56,3,171,896,2264,0.0004477
1488991049205644303,8,raw_ar,9,8197,56,1,57,896,1352,0.0059879
1488991049205644303,16,vectorchain_cartesian,9,537,48,3,147,768,1944,0.0004999
1488991049205644303,16,vectorchain_absolute,9,537,80,3,243,1280,3224,0.0007391
1488991049205644303,16,vectorchain_relational,9,537,112,3,339,1792,4504,0.0049249
