history_length,representation,split,horizon,n_seeds,trajectory_rmse_geomean,candidate_rmse_ratio_vs_control_geomean,postprojection_valid_rate_mean,rollout_completion_rate_mean,mean_input_steps,mean_input_scalar_elements,n_predictive_parameters
4,fixed_relational,test,16,5,0.5745622539626453,0.12882345231210765,1.0,1.0,4.0,28.0,87
4,persistence,test,16,5,0.09393342755785472,0.7879739412053911,1.0,1.0,1.0,1.0,0
4,raw_ar,test,16,5,0.036387784635524924,2.0341192481235035,1.0,1.0,28.0,28.0,29
4,raw_matched,test,16,5,0.20524250968433128,0.3606323721023207,1.0,1.0,28.0,28.0,87
4,vectorchain_absolute,test,16,5,0.0740285382631472,0.9998453955768706,1.0,1.0,4.0,20.0,63
4,vectorchain_cartesian,test,16,5,0.07283883340662535,1.0161762573885675,1.0,1.0,4.0,12.0,39
4,vectorchain_relational,test,16,5,0.0740170931236939,1.0,1.0,1.0,4.0,28.0,87
4,fixed_relational,test,64,5,1849474193.3723843,1.5540569497414098e-10,1.0,1.0,4.0,28.0,87
4,persistence,test,64,5,0.34686148230427843,0.8286270947364527,1.0,1.0,1.0,1.0,0
4,raw_ar,test,64,5,0.22787570880162963,1.2612964491444658,1.0,1.0,28.0,28.0,29
4,raw_matched,test,64,5,11.428528602139417,0.025149241198378663,1.0,1.0,28.0,28.0,87
4,vectorchain_absolute,test,64,5,0.28742410736477764,0.9999816125131175,1.0,1.0,4.0,20.0,63
4,vectorchain_cartesian,test,64,5,0.2920374487257979,0.9841848146935406,1.0,1.0,4.0,12.0,39
4,vectorchain_relational,test,64,5,0.28741882235777383,1.0,1.0,1.0,4.0,28.0,87
4,fixed_relational,test,128,5,6.809918836414835e+21,8.883645666616815e-23,1.0,1.0,4.0,28.0,87
4,persistence,test,128,5,0.5767048400349337,1.0490098532459844,1.0,1.0,1.0,1.0,0
4,raw_ar,test,128,5,0.5861871028870133,1.032040890411575,1.0,1.0,28.0,28.0,29
4,raw_matched,test,128,5,331.6619530109094,0.0018240532389055652,1.0,1.0,28.0,28.0,87
4,vectorchain_absolute,test,128,5,0.6049864261784417,0.9999712942862922,1.0,1.0,4.0,20.0,63
4,vectorchain_cartesian,test,128,5,0.6089860758514096,0.9934037634037873,1.0,1.0,4.0,12.0,39
4,vectorchain_relational,test,128,5,0.6049690596112945,1.0,1.0,1.0,4.0,28.0,87
4,fixed_relational,validation,16,5,0.20929944490647187,0.32939583800314565,1.0,1.0,4.0,28.0,87
4,persistence,validation,16,5,0.08443743038513073,0.8164905745485724,1.0,1.0,1.0,1.0,0
4,raw_ar,validation,16,5,0.03533459192219035,1.9511295390187948,1.0,1.0,28.0,28.0,29
4,raw_matched,validation,16,5,0.15098048493199812,0.4566309750535791,1.0,1.0,28.0,28.0,87
4,vectorchain_absolute,validation,16,5,0.06895273036398415,0.9998496895573399,1.0,1.0,4.0,20.0,63
4,vectorchain_cartesian,validation,16,5,0.06865209015845318,1.004228216350549,1.0,1.0,4.0,12.0,39
4,vectorchain_relational,validation,16,5,0.06894236604856051,1.0,1.0,1.0,4.0,28.0,87
4,fixed_relational,validation,64,5,724850512.0882274,3.877300046383613e-10,1.0,1.0,4.0,28.0,87
4,persistence,validation,64,5,0.3250597143529108,0.8645989644504521,1.0,1.0,1.0,1.0,0
4,raw_ar,validation,64,5,0.2283934045527853,1.2305359384803614,1.0,1.0,28.0,28.0,29
4,raw_matched,validation,64,5,10.60118133934233,0.02651084661396065,1.0,1.0,28.0,28.0,87
4,vectorchain_absolute,validation,64,5,0.2810466634817753,0.99999867969367,1.0,1.0,4.0,20.0,63
4,vectorchain_cartesian,validation,64,5,0.2867395516126609,0.9801448416636115,1.0,1.0,4.0,12.0,39
4,vectorchain_relational,validation,64,5,0.2810462924140865,1.0,1.0,1.0,4.0,28.0,87
4,fixed_relational,validation,128,5,2.762997565483756e+21,2.213084382211109e-22,1.0,1.0,4.0,28.0,87
4,persistence,validation,128,5,0.5837552492571193,1.0474846723932574,1.0,1.0,1.0,1.0,0
4,raw_ar,validation,128,5,0.5833559199317917,1.048201715510891,1.0,1.0,28.0,28.0,29
4,raw_matched,validation,128,5,350.64988402059384,0.0017438325346487943,1.0,1.0,28.0,28.0,87
4,vectorchain_absolute,validation,128,5,0.6114797831248806,0.9999916479676295,1.0,1.0,4.0,20.0,63
4,vectorchain_cartesian,validation,128,5,0.6182655922673437,0.9890161828082628,1.0,1.0,4.0,12.0,39
4,vectorchain_relational,validation,128,5,0.611474676025938,1.0,1.0,1.0,4.0,28.0,87
8,fixed_relational,test,16,5,0.6414274922179047,0.12363805600360768,1.0,1.0,8.0,56.0,171
8,persistence,test,16,5,0.09393342755785472,0.8442665222265643,1.0,1.0,1.0,1.0,0
8,raw_ar,test,16,5,0.028584689641588272,2.7743819925793156,1.0,1.0,56.0,56.0,57
8,raw_matched,test,16,5,0.27187236658718167,0.29169881882666493,1.0,1.0,56.0,56.0,171
8,vectorchain_absolute,test,16,5,0.07931650710294272,0.9998530079263747,1.0,1.0,8.0,40.0,123
8,vectorchain_cartesian,test,16,5,0.07661639690748619,1.0350897641512828,1.0,1.0,8.0,24.0,75
8,vectorchain_relational,test,16,5,0.07930484820509091,1.0,1.0,1.0,8.0,56.0,171
8,fixed_relational,test,64,5,3675543991.3401313,7.724879574402524e-11,1.0,1.0,8.0,56.0,171
8,persistence,test,64,5,0.34686148230427843,0.8185727200062567,1.0,1.0,1.0,1.0,0
8,raw_ar,test,64,5,0.1780683947625275,1.5945072533161593,1.0,1.0,56.0,56.0,57
8,raw_matched,test,64,5,12.894249273403233,0.022019998296517816,1.0,1.0,56.0,56.0,171
8,vectorchain_absolute,test,64,5,0.28396403161187633,0.9998848988849908,1.0,1.0,8.0,40.0,123
8,vectorchain_cartesian,test,64,5,0.27639714781906305,1.0272585997200099,1.0,1.0,8.0,24.0,75
8,vectorchain_relational,test,64,5,0.28393134703521533,1.0,1.0,1.0,8.0,56.0,171
8,fixed_relational,test,128,5,2.756319378903586e+22,2.1008263286686267e-23,1.0,1.0,8.0,56.0,171
8,persistence,test,128,5,0.5767048400349337,1.004074861079622,1.0,1.0,1.0,1.0,0
8,raw_ar,test,128,5,0.48117626992979673,1.203415189669485,1.0,1.0,56.0,56.0,57
8,raw_matched,test,128,5,903.4849169068741,0.0006409125612461188,1.0,1.0,56.0,56.0,171
8,vectorchain_absolute,test,128,5,0.579065879687097,0.9999809217820235,1.0,1.0,8.0,40.0,123
8,vectorchain_cartesian,test,128,5,0.571172114925203,1.01380094897989,1.0,1.0,8.0,24.0,75
8,vectorchain_relational,test,128,5,0.5790548321420217,1.0,1.0,1.0,8.0,56.0,171
8,fixed_relational,validation,16,5,0.3311016914945626,0.22916469954615035,1.0,1.0,8.0,56.0,171
8,persistence,validation,16,5,0.08443743038513073,0.898615925478653,1.0,1.0,1.0,1.0,0
8,raw_ar,validation,16,5,0.027941192159663352,2.715589915311896,1.0,1.0,56.0,56.0,57
8,raw_matched,validation,16,5,0.2045271466063473,0.3709865458428043,1.0,1.0,56.0,56.0,171
8,vectorchain_absolute,validation,16,5,0.07588583340828446,0.9998812194937314,1.0,1.0,8.0,40.0,123
8,vectorchain_cartesian,validation,16,5,0.07759196852253776,0.9778952782791439,1.0,1.0,8.0,24.0,75
8,vectorchain_relational,validation,16,5,0.07587681965057362,1.0,1.0,1.0,8.0,56.0,171
8,fixed_relational,validation,64,5,1241518184.5646236,2.2455449303005488e-10,1.0,1.0,8.0,56.0,171
8,persistence,validation,64,5,0.3250597143529108,0.8576531455996683,1.0,1.0,1.0,1.0,0
8,raw_ar,validation,64,5,0.17924939784058563,1.555310588939565,1.0,1.0,56.0,56.0,57
8,raw_matched,validation,64,5,11.434634370469485,0.024381058238511655,1.0,1.0,56.0,56.0,171
8,vectorchain_absolute,validation,64,5,0.2788087050557116,0.9999274824177246,1.0,1.0,8.0,40.0,123
8,vectorchain_cartesian,validation,64,5,0.274858025591612,1.0142999678558835,1.0,1.0,8.0,24.0,75
8,vectorchain_relational,validation,64,5,0.2787884865225036,1.0,1.0,1.0,8.0,56.0,171
8,fixed_relational,validation,128,5,9.082479605735099e+21,6.53384306538599e-23,1.0,1.0,8.0,56.0,171
8,persistence,validation,128,5,0.5837552492571193,1.0165818031437306,1.0,1.0,1.0,1.0,0
8,raw_ar,validation,128,5,0.47859472318611496,1.2399530022683651,1.0,1.0,56.0,56.0,57
8,raw_matched,validation,128,5,968.1643153862697,0.0006129486022707377,1.0,1.0,56.0,56.0,171
8,vectorchain_absolute,validation,128,5,0.593464643609395,0.9999499890595098,1.0,1.0,8.0,40.0,123
8,vectorchain_cartesian,validation,128,5,0.587987412025543,1.0092647423183962,1.0,1.0,8.0,24.0,75
8,vectorchain_relational,validation,128,5,0.5934349638844203,1.0,1.0,1.0,8.0,56.0,171
16,fixed_relational,test,16,5,4.7302200905059255,0.022934162311581106,1.0,1.0,16.0,112.0,339
16,persistence,test,16,5,0.09393342755785472,1.1548991466147487,1.0,1.0,1.0,1.0,0
16,raw_ar,test,16,5,0.024027201847698985,4.515034085650465,1.0,1.0,112.0,112.0,113
16,raw_matched,test,16,5,0.2869006288258542,0.37812268229991663,1.0,1.0,112.0,112.0,339
16,vectorchain_absolute,test,16,5,0.10847145110613153,1.0001123265053526,1.0,1.0,16.0,80.0,243
16,vectorchain_cartesian,test,16,5,0.11349390536206806,0.9558542811535163,1.0,1.0,16.0,48.0,147
16,vectorchain_relational,test,16,5,0.10848363532516475,1.0,1.0,1.0,16.0,112.0,339
16,fixed_relational,test,64,5,166876666703.7681,2.0403344814826292e-12,1.0,1.0,16.0,112.0,339
16,persistence,test,64,5,0.34686148230427843,0.9816143751928533,1.0,1.0,1.0,1.0,0
16,raw_ar,test,64,5,0.13608565837383338,2.5019845683904176,1.0,1.0,112.0,112.0,113
16,raw_matched,test,64,5,15.268036679622845,0.022300458426655557,1.0,1.0,112.0,112.0,339
