example_id,signal,signal_seed,split,context_start,origin,target_index,current_value,target_value,target_delta
sine__target-64,sine,4114706133015583382,train,0,63,64,0.9331379879264037,0.9398392550221359,0.006701267095732266
sine__target-66,sine,4114706133015583382,train,2,65,66,0.9137722693616833,0.9268137828344531,0.013041513472769828
sine__target-68,sine,4114706133015583382,train,4,67,68,0.9318929986373858,0.9576418914896303,0.025748892852244465
sine__target-70,sine,4114706133015583382,train,6,69,70,0.9599760505396322,0.9507578718191142,-0.009218178720518
sine__target-72,sine,4114706133015583382,train,8,71,72,0.9655717730542995,0.9857644609554357,0.020192687901136153
sine__target-74,sine,4114706133015583382,train,10,73,74,0.9602143665767183,0.961970444407281,0.0017560778305626412
sine__target-76,sine,4114706133015583382,train,12,75,76,0.9850072862325112,0.9820931541643092,-0.0029141320682020133
sine__target-78,sine,4114706133015583382,train,14,77,78,0.9977207681483445,0.9886281740339422,-0.00909259411440233
sine__target-80,sine,4114706133015583382,train,16,79,80,1.0066552715555281,1.0116523383743485,0.004997066818820395
sine__target-82,sine,4114706133015583382,train,18,81,82,1.0071343622070459,0.9948122586985974,-0.012322103508448534
sine__target-84,sine,4114706133015583382,train,20,83,84,0.9658123057453191,0.9950308942385042,0.02921858849318515
sine__target-86,sine,4114706133015583382,train,22,85,86,0.9896021834123553,1.0098208946113134,0.020218711198958128
sine__target-88,sine,4114706133015583382,train,24,87,88,0.9954684506494714,0.9876525473155423,-0.00781590333392912
sine__target-90,sine,4114706133015583382,train,26,89,90,0.991423869151178,0.9985755540262319,0.00715168487505391
sine__target-92,sine,4114706133015583382,train,28,91,92,0.9988161264139321,1.00150809832422,0.002691971910287805
sine__target-94,sine,4114706133015583382,train,30,93,94,0.9675079474108458,0.9779116529428765,0.010403705532030738
sine__target-96,sine,4114706133015583382,train,32,95,96,0.9755278287690535,0.9865723687877046,0.011044540018651072
sine__target-98,sine,4114706133015583382,train,34,97,98,0.9792156309716088,0.9628887691682063,-0.01632686180340248
sine__target-100,sine,4114706133015583382,train,36,99,100,0.9583572768667946,0.9781702471535378,0.019812970286743226
sine__target-102,sine,4114706133015583382,train,38,101,102,0.9498865939218437,0.9464210348807522,-0.0034655590410914705
sine__target-104,sine,4114706133015583382,train,40,103,104,0.9431958052805701,0.9314067970903454,-0.01178900819022477
sine__target-106,sine,4114706133015583382,train,42,105,106,0.942276006799065,0.936967223103652,-0.0053087836954129886
sine__target-108,sine,4114706133015583382,train,44,107,108,0.9166613006563414,0.9088932358337305,-0.007768064822610943
sine__target-110,sine,4114706133015583382,train,46,109,110,0.9133319992687657,0.8934133062815866,-0.019918692987179187
sine__target-112,sine,4114706133015583382,train,48,111,112,0.8828639549456216,0.8811810466568661,-0.0016829082887555025
sine__target-114,sine,4114706133015583382,train,50,113,114,0.863987772705584,0.858296331129745,-0.005691441575839007
sine__target-116,sine,4114706133015583382,train,52,115,116,0.8528382552498046,0.8463196564206884,-0.006518598829116207
sine__target-118,sine,4114706133015583382,train,54,117,118,0.8395027424365852,0.8184118554316122,-0.02109088700497297
sine__target-120,sine,4114706133015583382,train,56,119,120,0.8140191087595474,0.8171204045259493,0.003101295766401835
sine__target-122,sine,4114706133015583382,train,58,121,122,0.8038189990644123,0.7670252289543474,-0.036793770110064905
sine__target-124,sine,4114706133015583382,train,60,123,124,0.7621006963772513,0.7516010473923749,-0.01049964898487643
sine__target-126,sine,4114706133015583382,train,62,125,126,0.748023216149383,0.754056437417161,0.006033221267777944
sine__target-128,sine,4114706133015583382,train,64,127,128,0.7453189635992681,0.7119825730958036,-0.033336390503464486
sine__target-130,sine,4114706133015583382,train,66,129,130,0.6788306907576854,0.6741835769955348,-0.004647113762150656
sine__target-132,sine,4114706133015583382,train,68,131,132,0.667354032202715,0.6390559622719164,-0.02829806993079864
sine__target-134,sine,4114706133015583382,train,70,133,134,0.6376723551699212,0.6289913124730483,-0.008681042696872865
sine__target-136,sine,4114706133015583382,train,72,135,136,0.6169280197166035,0.5804736404766797,-0.036454379239923784
sine__target-138,sine,4114706133015583382,train,74,137,138,0.5915714327599636,0.5614562506749181,-0.03011518208504549
sine__target-140,sine,4114706133015583382,train,76,139,140,0.5490986682521479,0.5176180000172785,-0.03148066823486939
sine__target-142,sine,4114706133015583382,train,78,141,142,0.5176589801132018,0.4954556093424173,-0.022203370770784492
sine__target-144,sine,4114706133015583382,train,80,143,144,0.47624025031542605,0.46798818020410365,-0.008252070111322396
sine__target-146,sine,4114706133015583382,train,82,145,146,0.4643060881285768,0.43950900692678607,-0.02479708120179075
sine__target-148,sine,4114706133015583382,train,84,147,148,0.4273468577060845,0.40007790624843687,-0.027268951457647628
sine__target-150,sine,4114706133015583382,train,86,149,150,0.38430877216180925,0.3667540698990721,-0.017554702262737143
sine__target-152,sine,4114706133015583382,train,88,151,152,0.34851073907482816,0.3290705055456164,-0.01944023352921176
sine__target-154,sine,4114706133015583382,train,90,153,154,0.2998233146387983,0.30297880077773237,0.0031554861389340716
