representation,example_id,signal,split,input_steps,input_features,input_scalar_elements,input_bytes
raw,sine__target-64,sine,train,64,1,64,512
raw,sine__target-66,sine,train,64,1,64,512
raw,sine__target-68,sine,train,64,1,64,512
raw,sine__target-70,sine,train,64,1,64,512
raw,sine__target-72,sine,train,64,1,64,512
raw,sine__target-74,sine,train,64,1,64,512
raw,sine__target-76,sine,train,64,1,64,512
raw,sine__target-78,sine,train,64,1,64,512
raw,sine__target-80,sine,train,64,1,64,512
raw,sine__target-82,sine,train,64,1,64,512
raw,sine__target-84,sine,train,64,1,64,512
raw,sine__target-86,sine,train,64,1,64,512
raw,sine__target-88,sine,train,64,1,64,512
raw,sine__target-90,sine,train,64,1,64,512
raw,sine__target-92,sine,train,64,1,64,512
raw,sine__target-94,sine,train,64,1,64,512
raw,sine__target-96,sine,train,64,1,64,512
raw,sine__target-98,sine,train,64,1,64,512
raw,sine__target-100,sine,train,64,1,64,512
raw,sine__target-102,sine,train,64,1,64,512
raw,sine__target-104,sine,train,64,1,64,512
raw,sine__target-106,sine,train,64,1,64,512
raw,sine__target-108,sine,train,64,1,64,512
raw,sine__target-110,sine,train,64,1,64,512
raw,sine__target-112,sine,train,64,1,64,512
raw,sine__target-114,sine,train,64,1,64,512
raw,sine__target-116,sine,train,64,1,64,512
raw,sine__target-118,sine,train,64,1,64,512
raw,sine__target-120,sine,train,64,1,64,512
raw,sine__target-122,sine,train,64,1,64,512
raw,sine__target-124,sine,train,64,1,64,512
raw,sine__target-126,sine,train,64,1,64,512
raw,sine__target-128,sine,train,64,1,64,512
raw,sine__target-130,sine,train,64,1,64,512
raw,sine__target-132,sine,train,64,1,64,512
raw,sine__target-134,sine,train,64,1,64,512
raw,sine__target-136,sine,train,64,1,64,512
raw,sine__target-138,sine,train,64,1,64,512
raw,sine__target-140,sine,train,64,1,64,512
raw,sine__target-142,sine,train,64,1,64,512
raw,sine__target-144,sine,train,64,1,64,512
raw,sine__target-146,sine,train,64,1,64,512
raw,sine__target-148,sine,train,64,1,64,512
raw,sine__target-150,sine,train,64,1,64,512
raw,sine__target-152,sine,train,64,1,64,512
raw,sine__target-154,sine,train,64,1,64,512
raw,sine__target-156,sine,train,64,1,64,512
raw,sine__target-158,sine,train,64,1,64,512
raw,sine__target-160,sine,train,64,1,64,512
raw,sine__target-162,sine,train,64,1,64,512
raw,sine__target-164,sine,train,64,1,64,512
raw,sine__target-166,sine,train,64,1,64,512
raw,sine__target-168,sine,train,64,1,64,512
raw,sine__target-170,sine,train,64,1,64,512
raw,sine__target-172,sine,train,64,1,64,512
raw,sine__target-174,sine,train,64,1,64,512
raw,sine__target-176,sine,train,64,1,64,512
raw,sine__target-178,sine,train,64,1,64,512
raw,sine__target-180,sine,train,64,1,64,512
raw,sine__target-182,sine,train,64,1,64,512
raw,sine__target-184,sine,train,64,1,64,512
raw,sine__target-186,sine,train,64,1,64,512
raw,sine__target-188,sine,train,64,1,64,512
raw,sine__target-190,sine,train,64,1,64,512
raw,sine__target-192,sine,train,64,1,64,512
raw,sine__target-194,sine,train,64,1,64,512
raw,sine__target-196,sine,train,64,1,64,512
raw,sine__target-198,sine,train,64,1,64,512
raw,sine__target-200,sine,train,64,1,64,512
raw,sine__target-202,sine,train,64,1,64,512
raw,sine__target-204,sine,train,64,1,64,512
raw,sine__target-206,sine,train,64,1,64,512
raw,sine__target-208,sine,train,64,1,64,512
raw,sine__target-210,sine,train,64,1,64,512
raw,sine__target-212,sine,train,64,1,64,512
raw,sine__target-214,sine,train,64,1,64,512
raw,sine__target-216,sine,train,64,1,64,512
raw,sine__target-218,sine,train,64,1,64,512
raw,sine__target-220,sine,train,64,1,64,512
raw,sine__target-222,sine,train,64,1,64,512
raw,sine__target-224,sine,train,64,1,64,512
raw,sine__target-226,sine,train,64,1,64,512
raw,sine__target-228,sine,train,64,1,64,512
raw,sine__target-230,sine,train,64,1,64,512
raw,sine__target-232,sine,train,64,1,64,512
raw,sine__target-234,sine,train,64,1,64,512
raw,sine__target-236,sine,train,64,1,64,512
raw,sine__target-238,sine,train,64,1,64,512
raw,sine__target-240,sine,train,64,1,64,512
raw,sine__target-242,sine,train,64,1,64,512
raw,sine__target-244,sine,train,64,1,64,512
raw,sine__target-246,sine,train,64,1,64,512
raw,sine__target-248,sine,train,64,1,64,512
raw,sine__target-250,sine,train,64,1,64,512
raw,sine__target-252,sine,train,64,1,64,512
raw,sine__target-254,sine,train,64,1,64,512
raw,sine__target-256,sine,train,64,1,64,512
raw,sine__target-258,sine,train,64,1,64,512
raw,sine__target-260,sine,train,64,1,64,512
raw,sine__target-262,sine,train,64,1,64,512
raw,sine__target-264,sine,train,64,1,64,512
raw,sine__target-266,sine,train,64,1,64,512
raw,sine__target-268,sine,train,64,1,64,512
raw,sine__target-270,sine,train,64,1,64,512
raw,sine__target-272,sine,train,64,1,64,512
raw,sine__target-274,sine,train,64,1,64,512
raw,sine__target-276,sine,train,64,1,64,512
raw,sine__target-278,sine,train,64,1,64,512
raw,sine__target-280,sine,train,64,1,64,512
raw,sine__target-282,sine,train,64,1,64,512
raw,sine__target-284,sine,train,64,1,64,512
raw,sine__target-286,sine,train,64,1,64,512
raw,sine__target-288,sine,train,64,1,64,512
raw,sine__target-290,sine,train,64,1,64,512
raw,sine__target-292,sine,train,64,1,64,512
raw,sine__target-294,sine,train,64,1,64,512
raw,sine__target-296,sine,train,64,1,64,512
raw,sine__target-298,sine,train,64,1,64,512
raw,sine__target-300,sine,train,64,1,64,512
raw,sine__target-302,sine,train,64,1,64,512
raw,sine__target-304,sine,train,64,1,64,512
raw,sine__target-306,sine,train,64,1,64,512
raw,sine__target-308,sine,train,64,1,64,512
raw,sine__target-310,sine,train,64,1,64,512
raw,sine__target-312,sine,train,64,1,64,512
raw,sine__target-314,sine,train,64,1,64,512
raw,sine__target-316,sine,train,64,1,64,512
raw,sine__target-318,sine,train,64,1,64,512
