representation,split,signal,n_examples,mae,rmse
raw,validation,sine,103,0.011967424751734986,0.01448820359524521
raw,validation,chirp,103,0.018398784746396325,0.022467289415003613
raw,validation,ramp,103,0.01060520107804645,0.0135387779662387
raw,validation,piecewise_linear,103,0.011320027222143862,0.014723491390732897
raw,validation,first_order_response,103,0.012577696122345229,0.015573990659762333
raw,validation,second_order_response,103,0.01325700098253955,0.01597711665111767
raw,validation,regime_change,103,0.027175007365572042,0.03293017035355055
raw,test,sine,102,0.013034670901215753,0.016136722883959016
raw,test,chirp,102,0.02051040738224866,0.024565779814282963
raw,test,ramp,102,0.011027602186521036,0.013689193419504609
raw,test,piecewise_linear,102,0.011412459201756993,0.014115780667457901
raw,test,first_order_response,102,0.011156341815883616,0.014117387522486105
raw,test,second_order_response,102,0.01185398235990071,0.014187487391281686
raw,test,regime_change,102,0.02681153099378605,0.031979816940799384
first_difference,validation,sine,103,0.011660037036410857,0.014753590596461825
first_difference,validation,chirp,103,0.031091622676722684,0.03565630036191455
first_difference,validation,ramp,103,0.009314454234010274,0.011872489692575086
first_difference,validation,piecewise_linear,103,0.01052189547201442,0.01350290177683936
first_difference,validation,first_order_response,103,0.011203127025147735,0.013504898763509172
first_difference,validation,second_order_response,103,0.01199850290947853,0.014556366393886183
first_difference,validation,regime_change,103,0.04590461038702581,0.05344975827930052
first_difference,test,sine,102,0.013822234964502281,0.017185553390157333
first_difference,test,chirp,102,0.03549681945107327,0.041336703901593615
first_difference,test,ramp,102,0.010194153008972914,0.01247381443174551
first_difference,test,piecewise_linear,102,0.010106816882860721,0.012531948192712325
first_difference,test,first_order_response,102,0.010342490905048315,0.012769245511145673
first_difference,test,second_order_response,102,0.010872670095499594,0.012950271682771424
first_difference,test,regime_change,102,0.04470259161380518,0.05171367222800794
vectorchain,validation,sine,103,0.011870535662223134,0.014972104924792002
vectorchain,validation,chirp,103,0.024646242294618335,0.028934921349613976
vectorchain,validation,ramp,103,0.01094413827684526,0.013509238037291814
vectorchain,validation,piecewise_linear,103,0.0116834707876735,0.014833532014504927
vectorchain,validation,first_order_response,103,0.012259805662492445,0.015043954172129332
vectorchain,validation,second_order_response,103,0.01289319063488991,0.015556431764352483
vectorchain,validation,regime_change,103,0.030084916759189163,0.039247715643888806
vectorchain,test,sine,102,0.014879850544749152,0.01854308867957451
vectorchain,test,chirp,102,0.022785428782036696,0.02916853811807323
vectorchain,test,ramp,102,0.010757073168581969,0.013253977462820124
vectorchain,test,piecewise_linear,102,0.01139291982006262,0.013943332846738541
vectorchain,test,first_order_response,102,0.010970682814812477,0.013716584076150075
vectorchain,test,second_order_response,102,0.011350027052975794,0.013811530633025534
vectorchain,test,regime_change,102,0.02872353463694141,0.035923387176710286
