split,signal,n_examples,mae,rmse
validation,__all__,721,0.017277140550761114,0.02280917229688749
validation,sine,103,0.014625552890366527,0.01776630949372138
validation,chirp,103,0.027914353027097997,0.03209067391795316
validation,ramp,103,0.01046747623675676,0.013370093855304499
validation,piecewise_linear,103,0.011573119542777979,0.014871708400376708
validation,first_order_response,103,0.012099394144552031,0.014942035495230205
validation,second_order_response,103,0.012552222258002519,0.01533990348808933
validation,regime_change,103,0.031707865755774,0.037919007058973775
test,__all__,714,0.018049145093158782,0.023274640320977376
test,sine,102,0.018769955744411263,0.022353816277392517
test,chirp,102,0.028245052950813535,0.032168349427191816
test,ramp,102,0.010765478347595983,0.01339393225264295
test,piecewise_linear,102,0.011618498376757463,0.014318698415977178
test,first_order_response,102,0.01090566952580096,0.013645755475310455
test,second_order_response,102,0.011600247015494966,0.013927101356400521
test,regime_change,102,0.034439113691237304,0.03863771508854031
