representation,phase,split,repetition,duration_s
raw,train,train,0,0.0002673
raw,train,train,1,0.0002506
raw,train,train,2,0.0002496
raw,train,train,3,0.000247
raw,train,train,4,0.000243
raw,inference,validation,0,3.97e-05
raw,inference,validation,1,2.96e-05
raw,inference,validation,2,2.83e-05
raw,inference,validation,3,2.52e-05
raw,inference,validation,4,2.7e-05
raw,inference,test,0,6.31e-05
raw,inference,test,1,3.05e-05
raw,inference,test,2,2.58e-05
raw,inference,test,3,2.47e-05
raw,inference,test,4,2.39e-05
first_difference,train,train,0,0.0002476
first_difference,train,train,1,0.0002394
first_difference,train,train,2,0.0002358
first_difference,train,train,3,0.0002326
first_difference,train,train,4,0.0002368
first_difference,inference,validation,0,3.19e-05
first_difference,inference,validation,1,2.66e-05
first_difference,inference,validation,2,2.41e-05
first_difference,inference,validation,3,2.28e-05
first_difference,inference,validation,4,2.36e-05
first_difference,inference,test,0,3.86e-05
first_difference,inference,test,1,2.66e-05
first_difference,inference,test,2,2.38e-05
first_difference,inference,test,3,2.3e-05
first_difference,inference,test,4,2.28e-05
vectorchain,train,train,0,0.0004335
vectorchain,train,train,1,0.000411
vectorchain,train,train,2,0.000415
vectorchain,train,train,3,0.000403
vectorchain,train,train,4,0.0003979
vectorchain,inference,validation,0,5.87e-05
vectorchain,inference,validation,1,4.13e-05
vectorchain,inference,validation,2,3.94e-05
vectorchain,inference,validation,3,3.86e-05
vectorchain,inference,validation,4,3.84e-05
vectorchain,inference,test,0,5.66e-05
vectorchain,inference,test,1,4.33e-05
vectorchain,inference,test,2,4.05e-05
vectorchain,inference,test,3,3.91e-05
vectorchain,inference,test,4,3.85e-05
