signal,signal_seed,tolerance,status,error_type,error_message,n_points,n_vectors,compression_factor,retention_fraction,mae,rmse,transform_runtime_median_s,transform_runtime_q1_s,transform_runtime_q3_s,reconstruction_runtime_median_s,reconstruction_runtime_q1_s,reconstruction_runtime_q3_s
sine,5903279023229027532,0.001,ok,,,1000,940,1.0638297872340425,0.94,2.599123915911198e-05,0.00012879554107791442,0.2241782,0.2238148,0.2313453,0.0046899,0.0046745,0.005005
sine,5903279023229027532,0.003,ok,,,1000,824,1.2135922330097086,0.824,0.000254250486955002,0.0007075484914825505,0.1777244,0.1769801,0.1828577,0.0041746,0.0038264,0.0041772
sine,5903279023229027532,0.01,ok,,,1000,523,1.9120458891013383,0.523,0.002284034156398808,0.003867519336454078,0.0842754,0.0840633,0.0855886,0.0027293,0.002481,0.0028402
sine,5903279023229027532,0.03,ok,,,1000,90,11.11111111111111,0.09,0.00937089821807287,0.012107945947281689,0.0156142,0.0155341,0.0156202,0.0004912,0.0004832,0.000503
sine,5903279023229027532,0.1,ok,,,1000,19,52.63157894736842,0.019,0.050175245776009035,0.056819990128740165,0.0115804,0.0115197,0.0116437,0.000139,0.0001369,0.0001397
chirp,408835176976195895,0.001,ok,,,1000,923,1.0834236186348862,0.923,3.685696738066305e-05,0.00015562821466113036,0.2204495,0.2191782,0.221767,0.004823,0.0046667,0.0048589
chirp,408835176976195895,0.003,ok,,,1000,812,1.2315270935960592,0.812,0.00025810450122273573,0.0006989245067802067,0.1841341,0.1812286,0.1853651,0.0038145,0.0037778,0.0041097
chirp,408835176976195895,0.01,ok,,,1000,531,1.8832391713747645,0.531,0.002204321360593099,0.003766052851405028,0.0881246,0.0877437,0.0885791,0.0025107,0.0024884,0.0025108
chirp,408835176976195895,0.03,ok,,,1000,98,10.204081632653061,0.098,0.010162771587545536,0.012951462554379276,0.0159693,0.0157056,0.017361,0.0005458,0.0005374,0.0005466
chirp,408835176976195895,0.1,ok,,,1000,27,37.03703703703704,0.027,0.049833396758781505,0.05690087992442786,0.0119672,0.011961,0.0121904,0.0001785,0.0001783,0.0001793
ramp,2525541738255795592,0.001,ok,,,1000,942,1.0615711252653928,0.942,2.92278025117253e-05,0.00014216139613067928,0.2266318,0.2252777,0.2269118,0.0045261,0.0044905,0.0045993
ramp,2525541738255795592,0.003,ok,,,1000,822,1.2165450121654502,0.822,0.00027792464307748024,0.0007505284564281798,0.1798978,0.179292,0.1811638,0.0039629,0.0039388,0.0042586
ramp,2525541738255795592,0.01,ok,,,1000,515,1.941747572815534,0.515,0.0022502841936931964,0.0038094346806493997,0.0878223,0.0874938,0.0906572,0.0025463,0.0025378,0.0035996
ramp,2525541738255795592,0.03,ok,,,1000,70,14.285714285714286,0.07,0.009116115691985921,0.011658549047633651,0.0140139,0.0138635,0.0140394,0.0003889,0.0003833,0.0003969
ramp,2525541738255795592,0.1,ok,,,1000,1,1000.0,0.001,0.012259711086420757,0.014705789261516144,0.0303245,0.0301625,0.0303743,4.88e-05,4.81e-05,4.9e-05
piecewise_linear,8232356733117608449,0.001,ok,,,1000,942,1.0615711252653928,0.942,2.3883924103603557e-05,0.00011811233974590126,0.2293106,0.2285537,0.2343824,0.0048229,0.0044854,0.0048386
