signal,signal_seed,tolerance,phase,repetition,duration_s
sine,5903279023229027532,0.001,transform,0,0.2241782
sine,5903279023229027532,0.001,reconstruction,0,0.0046899
sine,5903279023229027532,0.001,transform,1,0.2218246
sine,5903279023229027532,0.001,reconstruction,1,0.005005
sine,5903279023229027532,0.001,transform,2,0.2238148
sine,5903279023229027532,0.001,reconstruction,2,0.0053304
sine,5903279023229027532,0.001,transform,3,0.2336097
sine,5903279023229027532,0.001,reconstruction,3,0.0046745
sine,5903279023229027532,0.001,transform,4,0.2313453
sine,5903279023229027532,0.001,reconstruction,4,0.0044631
sine,5903279023229027532,0.003,transform,0,0.1740042
sine,5903279023229027532,0.003,reconstruction,0,0.0037904
sine,5903279023229027532,0.003,transform,1,0.1769801
sine,5903279023229027532,0.003,reconstruction,1,0.0041772
sine,5903279023229027532,0.003,transform,2,0.1777244
sine,5903279023229027532,0.003,reconstruction,2,0.0038264
sine,5903279023229027532,0.003,transform,3,0.1863675
sine,5903279023229027532,0.003,reconstruction,3,0.0046039
sine,5903279023229027532,0.003,transform,4,0.1828577
sine,5903279023229027532,0.003,reconstruction,4,0.0041746
sine,5903279023229027532,0.01,transform,0,0.0855886
sine,5903279023229027532,0.01,reconstruction,0,0.0027293
sine,5903279023229027532,0.01,transform,1,0.0838346
sine,5903279023229027532,0.01,reconstruction,1,0.002481
sine,5903279023229027532,0.01,transform,2,0.0842754
sine,5903279023229027532,0.01,reconstruction,2,0.0028402
sine,5903279023229027532,0.01,transform,3,0.0840633
sine,5903279023229027532,0.01,reconstruction,3,0.0024568
sine,5903279023229027532,0.01,transform,4,0.086907
sine,5903279023229027532,0.01,reconstruction,4,0.0031223
sine,5903279023229027532,0.03,transform,0,0.0156202
sine,5903279023229027532,0.03,reconstruction,0,0.0004832
sine,5903279023229027532,0.03,transform,1,0.0152657
sine,5903279023229027532,0.03,reconstruction,1,0.0004814
sine,5903279023229027532,0.03,transform,2,0.0156142
sine,5903279023229027532,0.03,reconstruction,2,0.0004912
sine,5903279023229027532,0.03,transform,3,0.0164908
sine,5903279023229027532,0.03,reconstruction,3,0.0005309
sine,5903279023229027532,0.03,transform,4,0.0155341
sine,5903279023229027532,0.03,reconstruction,4,0.000503
sine,5903279023229027532,0.1,transform,0,0.0115197
sine,5903279023229027532,0.1,reconstruction,0,0.0001405
sine,5903279023229027532,0.1,transform,1,0.0111282
sine,5903279023229027532,0.1,reconstruction,1,0.0001305
sine,5903279023229027532,0.1,transform,2,0.0116437
sine,5903279023229027532,0.1,reconstruction,2,0.0001397
sine,5903279023229027532,0.1,transform,3,0.0118155
sine,5903279023229027532,0.1,reconstruction,3,0.000139
sine,5903279023229027532,0.1,transform,4,0.0115804
sine,5903279023229027532,0.1,reconstruction,4,0.0001369
chirp,408835176976195895,0.001,transform,0,0.2191782
chirp,408835176976195895,0.001,reconstruction,0,0.004823
chirp,408835176976195895,0.001,transform,1,0.2204495
chirp,408835176976195895,0.001,reconstruction,1,0.005322
chirp,408835176976195895,0.001,transform,2,0.2244073
chirp,408835176976195895,0.001,reconstruction,2,0.0048589
chirp,408835176976195895,0.001,transform,3,0.221767
chirp,408835176976195895,0.001,reconstruction,3,0.0046667
chirp,408835176976195895,0.001,transform,4,0.2165629
chirp,408835176976195895,0.001,reconstruction,4,0.0042332
chirp,408835176976195895,0.003,transform,0,0.1812286
chirp,408835176976195895,0.003,reconstruction,0,0.0045194
chirp,408835176976195895,0.003,transform,1,0.1853651
chirp,408835176976195895,0.003,reconstruction,1,0.0038145
chirp,408835176976195895,0.003,transform,2,0.1878843
chirp,408835176976195895,0.003,reconstruction,2,0.0037778
chirp,408835176976195895,0.003,transform,3,0.1841341
chirp,408835176976195895,0.003,reconstruction,3,0.0041097
chirp,408835176976195895,0.003,transform,4,0.1775037
chirp,408835176976195895,0.003,reconstruction,4,0.0037424
chirp,408835176976195895,0.01,transform,0,0.0885791
chirp,408835176976195895,0.01,reconstruction,0,0.0024836
chirp,408835176976195895,0.01,transform,1,0.0881246
chirp,408835176976195895,0.01,reconstruction,1,0.0024884
chirp,408835176976195895,0.01,transform,2,0.0877437
chirp,408835176976195895,0.01,reconstruction,2,0.0028255
chirp,408835176976195895,0.01,transform,3,0.0873984
chirp,408835176976195895,0.01,reconstruction,3,0.0025107
chirp,408835176976195895,0.01,transform,4,0.0892859
