representation,family,feature_names,status,error_type,error_message,n_features,mean_gallery_length,mean_query_length,top_1_accuracy,top_3_accuracy,mean_reciprocal_rank,mean_within_class_distance,mean_between_class_distance,separation_ratio,representation_runtime_s,distance_runtime_s,dtw_window
raw,baseline,value,ok,,,1,128.0,128.0,1.0,1.0,1.0,0.42124553876050647,0.7638443593393923,1.8132995819658184,0.0008283,2.1930249,20
normalized_raw,baseline,value,ok,,,1,128.0,128.0,1.0,1.0,1.0,0.03362252377721772,0.4978207122141077,14.806167303580759,0.0020625,2.2071329,20
first_difference,baseline,delta_y,ok,,,1,127.0,127.0,1.0,1.0,1.0,0.16859045633206984,0.46783544201879873,2.774981764669472,0.0009245,2.1520655,20
first_second_difference,baseline,"delta_y,delta2_y",ok,,,2,126.0,126.0,0.9047619047619048,1.0,0.9444444444444444,0.38666657413238104,0.7770655004631242,2.0096526373057637,0.0012762,2.1924576,19
fixed_linear,baseline,"dt,dy,theta,r,delta_theta",ok,,,5,13.0,13.0,1.0,1.0,1.0,0.14894743290639714,0.714307614046142,4.795702753031222,0.002661,0.090728,2
vectorchain__dt-dy,vectorchain,"dt,dy",ok,,,2,41.333333333333336,46.142857142857146,0.6190476190476191,0.9523809523809523,0.7738095238095238,0.4601019766493966,0.6733397564166174,1.4634576476286485,0.1514439,0.5971652,13
vectorchain__dt-dy-theta,vectorchain,"dt,dy,theta",ok,,,3,41.333333333333336,46.142857142857146,0.7142857142857143,0.9523809523809523,0.8214285714285714,0.44048689740317604,0.7178612581157359,1.6296994583670446,0.1565675,0.5884205,13
vectorchain__dt-dy-theta-r,vectorchain,"dt,dy,theta,r",ok,,,4,41.333333333333336,46.142857142857146,0.6666666666666666,1.0,0.8095238095238095,0.46912532593690265,0.7088100150764249,1.5109182469755638,0.155431,0.6024089,13
vectorchain__dt-dy-theta-r-delta_theta,vectorchain,"dt,dy,theta,r,delta_theta",ok,,,5,41.333333333333336,46.142857142857146,0.6666666666666666,0.9523809523809523,0.7896825396825397,0.5329946535890104,0.8016421076018583,1.5040340502552219,0.1566575,0.6171374,13
vectorchain__dt-dy-theta-r-delta_theta-delta_r,vectorchain,"dt,dy,theta,r,delta_theta,delta_r",ok,,,6,41.333333333333336,46.142857142857146,0.6190476190476191,0.9047619047619048,0.7698412698412698,0.6242860033287175,0.8520343902436933,1.364814180841173,0.1569322,0.6475906,13
