sample_id,split,label,variant_index,seed,amplitude,offset,noise_std,n_points
gallery__sine__v0,gallery,sine,0,403471390340741458,0.8,-0.4,0.01,128
gallery__sine__v1,gallery,sine,1,499549320729769928,1.0,0.0,0.02,128
gallery__sine__v2,gallery,sine,2,822896828597865238,1.2,0.4,0.015,128
gallery__chirp__v0,gallery,chirp,0,7309102370603404533,0.8,-0.4,0.01,128
gallery__chirp__v1,gallery,chirp,1,7055189646852930550,1.0,0.0,0.02,128
gallery__chirp__v2,gallery,chirp,2,7471043018054943045,1.2,0.4,0.015,128
gallery__ramp__v0,gallery,ramp,0,1667859810207342267,0.8,-0.4,0.01,128
gallery__ramp__v1,gallery,ramp,1,4917392055093196289,1.0,0.0,0.02,128
gallery__ramp__v2,gallery,ramp,2,3896241870625907118,1.2,0.4,0.015,128
gallery__piecewise_linear__v0,gallery,piecewise_linear,0,3294502498348918382,0.8,-0.4,0.01,128
gallery__piecewise_linear__v1,gallery,piecewise_linear,1,6849935385588639552,1.0,0.0,0.02,128
gallery__piecewise_linear__v2,gallery,piecewise_linear,2,14200944827521377,1.2,0.4,0.015,128
gallery__first_order_response__v0,gallery,first_order_response,0,6194112179700111752,0.8,-0.4,0.01,128
gallery__first_order_response__v1,gallery,first_order_response,1,7991507640027854994,1.0,0.0,0.02,128
gallery__first_order_response__v2,gallery,first_order_response,2,4484782752077524426,1.2,0.4,0.015,128
gallery__second_order_response__v0,gallery,second_order_response,0,6710612923625161788,0.8,-0.4,0.01,128
gallery__second_order_response__v1,gallery,second_order_response,1,5267168271643067051,1.0,0.0,0.02,128
gallery__second_order_response__v2,gallery,second_order_response,2,4113808033560850619,1.2,0.4,0.015,128
gallery__regime_change__v0,gallery,regime_change,0,3613236110278187050,0.8,-0.4,0.01,128
gallery__regime_change__v1,gallery,regime_change,1,3538819494541816141,1.0,0.0,0.02,128
gallery__regime_change__v2,gallery,regime_change,2,4413908309315431247,1.2,0.4,0.015,128
query__sine__v0,query,sine,0,5798417999050698561,0.7,0.25,0.015,128
query__sine__v1,query,sine,1,3815403766828087543,1.1,-0.25,0.025,128
query__sine__v2,query,sine,2,852115992889414883,1.3,0.6,0.01,128
query__chirp__v0,query,chirp,0,2001705900342164318,0.7,0.25,0.015,128
query__chirp__v1,query,chirp,1,7327207700560342198,1.1,-0.25,0.025,128
query__chirp__v2,query,chirp,2,5115648967412180854,1.3,0.6,0.01,128
query__ramp__v0,query,ramp,0,4226990528224026333,0.7,0.25,0.015,128
query__ramp__v1,query,ramp,1,3615416744607893010,1.1,-0.25,0.025,128
query__ramp__v2,query,ramp,2,8786716537808292819,1.3,0.6,0.01,128
query__piecewise_linear__v0,query,piecewise_linear,0,6650500457576065490,0.7,0.25,0.015,128
query__piecewise_linear__v1,query,piecewise_linear,1,6616539094474038259,1.1,-0.25,0.025,128
query__piecewise_linear__v2,query,piecewise_linear,2,8290165051733645950,1.3,0.6,0.01,128
query__first_order_response__v0,query,first_order_response,0,3706767601177430830,0.7,0.25,0.015,128
query__first_order_response__v1,query,first_order_response,1,7229369386143675031,1.1,-0.25,0.025,128
query__first_order_response__v2,query,first_order_response,2,3355190558929425256,1.3,0.6,0.01,128
query__second_order_response__v0,query,second_order_response,0,7925849164828421202,0.7,0.25,0.015,128
query__second_order_response__v1,query,second_order_response,1,3257411091631677124,1.1,-0.25,0.025,128
query__second_order_response__v2,query,second_order_response,2,428723739633748540,1.3,0.6,0.01,128
query__regime_change__v0,query,regime_change,0,4767711088424501043,0.7,0.25,0.015,128
query__regime_change__v1,query,regime_change,1,6824573694524840786,1.1,-0.25,0.025,128
query__regime_change__v2,query,regime_change,2,6538056540380325880,1.3,0.6,0.01,128
