representation,sample_id,split,label,n_steps,n_features
raw,gallery__sine__v0,gallery,sine,128,1
raw,gallery__sine__v1,gallery,sine,128,1
raw,gallery__sine__v2,gallery,sine,128,1
raw,gallery__chirp__v0,gallery,chirp,128,1
raw,gallery__chirp__v1,gallery,chirp,128,1
raw,gallery__chirp__v2,gallery,chirp,128,1
raw,gallery__ramp__v0,gallery,ramp,128,1
raw,gallery__ramp__v1,gallery,ramp,128,1
raw,gallery__ramp__v2,gallery,ramp,128,1
raw,gallery__piecewise_linear__v0,gallery,piecewise_linear,128,1
raw,gallery__piecewise_linear__v1,gallery,piecewise_linear,128,1
raw,gallery__piecewise_linear__v2,gallery,piecewise_linear,128,1
raw,gallery__first_order_response__v0,gallery,first_order_response,128,1
raw,gallery__first_order_response__v1,gallery,first_order_response,128,1
raw,gallery__first_order_response__v2,gallery,first_order_response,128,1
raw,gallery__second_order_response__v0,gallery,second_order_response,128,1
raw,gallery__second_order_response__v1,gallery,second_order_response,128,1
raw,gallery__second_order_response__v2,gallery,second_order_response,128,1
raw,gallery__regime_change__v0,gallery,regime_change,128,1
raw,gallery__regime_change__v1,gallery,regime_change,128,1
raw,gallery__regime_change__v2,gallery,regime_change,128,1
raw,query__sine__v0,query,sine,128,1
raw,query__sine__v1,query,sine,128,1
raw,query__sine__v2,query,sine,128,1
raw,query__chirp__v0,query,chirp,128,1
raw,query__chirp__v1,query,chirp,128,1
raw,query__chirp__v2,query,chirp,128,1
raw,query__ramp__v0,query,ramp,128,1
raw,query__ramp__v1,query,ramp,128,1
raw,query__ramp__v2,query,ramp,128,1
raw,query__piecewise_linear__v0,query,piecewise_linear,128,1
raw,query__piecewise_linear__v1,query,piecewise_linear,128,1
raw,query__piecewise_linear__v2,query,piecewise_linear,128,1
raw,query__first_order_response__v0,query,first_order_response,128,1
raw,query__first_order_response__v1,query,first_order_response,128,1
raw,query__first_order_response__v2,query,first_order_response,128,1
raw,query__second_order_response__v0,query,second_order_response,128,1
raw,query__second_order_response__v1,query,second_order_response,128,1
raw,query__second_order_response__v2,query,second_order_response,128,1
raw,query__regime_change__v0,query,regime_change,128,1
raw,query__regime_change__v1,query,regime_change,128,1
raw,query__regime_change__v2,query,regime_change,128,1
normalized_raw,gallery__sine__v0,gallery,sine,128,1
normalized_raw,gallery__sine__v1,gallery,sine,128,1
normalized_raw,gallery__sine__v2,gallery,sine,128,1
normalized_raw,gallery__chirp__v0,gallery,chirp,128,1
normalized_raw,gallery__chirp__v1,gallery,chirp,128,1
normalized_raw,gallery__chirp__v2,gallery,chirp,128,1
normalized_raw,gallery__ramp__v0,gallery,ramp,128,1
normalized_raw,gallery__ramp__v1,gallery,ramp,128,1
normalized_raw,gallery__ramp__v2,gallery,ramp,128,1
normalized_raw,gallery__piecewise_linear__v0,gallery,piecewise_linear,128,1
normalized_raw,gallery__piecewise_linear__v1,gallery,piecewise_linear,128,1
normalized_raw,gallery__piecewise_linear__v2,gallery,piecewise_linear,128,1
normalized_raw,gallery__first_order_response__v0,gallery,first_order_response,128,1
normalized_raw,gallery__first_order_response__v1,gallery,first_order_response,128,1
normalized_raw,gallery__first_order_response__v2,gallery,first_order_response,128,1
normalized_raw,gallery__second_order_response__v0,gallery,second_order_response,128,1
normalized_raw,gallery__second_order_response__v1,gallery,second_order_response,128,1
normalized_raw,gallery__second_order_response__v2,gallery,second_order_response,128,1
normalized_raw,gallery__regime_change__v0,gallery,regime_change,128,1
normalized_raw,gallery__regime_change__v1,gallery,regime_change,128,1
normalized_raw,gallery__regime_change__v2,gallery,regime_change,128,1
normalized_raw,query__sine__v0,query,sine,128,1
normalized_raw,query__sine__v1,query,sine,128,1
normalized_raw,query__sine__v2,query,sine,128,1
normalized_raw,query__chirp__v0,query,chirp,128,1
normalized_raw,query__chirp__v1,query,chirp,128,1
normalized_raw,query__chirp__v2,query,chirp,128,1
normalized_raw,query__ramp__v0,query,ramp,128,1
normalized_raw,query__ramp__v1,query,ramp,128,1
normalized_raw,query__ramp__v2,query,ramp,128,1
normalized_raw,query__piecewise_linear__v0,query,piecewise_linear,128,1
normalized_raw,query__piecewise_linear__v1,query,piecewise_linear,128,1
normalized_raw,query__piecewise_linear__v2,query,piecewise_linear,128,1
normalized_raw,query__first_order_response__v0,query,first_order_response,128,1
normalized_raw,query__first_order_response__v1,query,first_order_response,128,1
normalized_raw,query__first_order_response__v2,query,first_order_response,128,1
normalized_raw,query__second_order_response__v0,query,second_order_response,128,1
normalized_raw,query__second_order_response__v1,query,second_order_response,128,1
normalized_raw,query__second_order_response__v2,query,second_order_response,128,1
normalized_raw,query__regime_change__v0,query,regime_change,128,1
normalized_raw,query__regime_change__v1,query,regime_change,128,1
normalized_raw,query__regime_change__v2,query,regime_change,128,1
first_difference,gallery__sine__v0,gallery,sine,127,1
first_difference,gallery__sine__v1,gallery,sine,127,1
first_difference,gallery__sine__v2,gallery,sine,127,1
first_difference,gallery__chirp__v0,gallery,chirp,127,1
first_difference,gallery__chirp__v1,gallery,chirp,127,1
first_difference,gallery__chirp__v2,gallery,chirp,127,1
first_difference,gallery__ramp__v0,gallery,ramp,127,1
first_difference,gallery__ramp__v1,gallery,ramp,127,1
first_difference,gallery__ramp__v2,gallery,ramp,127,1
first_difference,gallery__piecewise_linear__v0,gallery,piecewise_linear,127,1
first_difference,gallery__piecewise_linear__v1,gallery,piecewise_linear,127,1
first_difference,gallery__piecewise_linear__v2,gallery,piecewise_linear,127,1
first_difference,gallery__first_order_response__v0,gallery,first_order_response,127,1
first_difference,gallery__first_order_response__v1,gallery,first_order_response,127,1
first_difference,gallery__first_order_response__v2,gallery,first_order_response,127,1
first_difference,gallery__second_order_response__v0,gallery,second_order_response,127,1
first_difference,gallery__second_order_response__v1,gallery,second_order_response,127,1
first_difference,gallery__second_order_response__v2,gallery,second_order_response,127,1
first_difference,gallery__regime_change__v0,gallery,regime_change,127,1
first_difference,gallery__regime_change__v1,gallery,regime_change,127,1
first_difference,gallery__regime_change__v2,gallery,regime_change,127,1
first_difference,query__sine__v0,query,sine,127,1
first_difference,query__sine__v1,query,sine,127,1
first_difference,query__sine__v2,query,sine,127,1
first_difference,query__chirp__v0,query,chirp,127,1
first_difference,query__chirp__v1,query,chirp,127,1
first_difference,query__chirp__v2,query,chirp,127,1
first_difference,query__ramp__v0,query,ramp,127,1
first_difference,query__ramp__v1,query,ramp,127,1
first_difference,query__ramp__v2,query,ramp,127,1
